         388408497 function calls (387113178 primitive calls) in 354.312 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000  641.077  320.538 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\keras\src\layers\layer.py:466(add_weight)
      8/2    0.000    0.000  641.069  320.534 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\keras\src\backend\common\variables.py:80(__init__)
 17333/12    0.114    0.000  320.487   26.707 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\util\traceback_utils.py:138(error_handler)
        1    0.000    0.000  320.383  320.383 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\keras\src\initializers\random_initializers.py:273(__call__)
        1    0.000    0.000  320.383  320.383 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\keras\src\backend\tensorflow\random.py:23(uniform)
        1    0.003    0.003  320.349  320.349 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\keras\src\layers\core\input_layer.py:91(Input)
      200    0.002    0.000  320.171    1.601 c:\Users\s144763\OneDrive - TU Eindhoven\Documents\Github\SMDP_remco\rollouts.py:74(find_learning_sample)
53659/53600    4.445    0.000  314.500    0.006 c:\Users\s144763\OneDrive - TU Eindhoven\Documents\Github\SMDP_remco\rollouts.py:9(rollout)
      200    0.219    0.001  312.958    1.565 c:\Users\s144763\OneDrive - TU Eindhoven\Documents\Github\SMDP_remco\rollouts.py:44(multiple_rollouts_per_action)
  3024426   34.495    0.000  286.792    0.000 c:\Users\s144763\OneDrive - TU Eindhoven\Documents\Github\SMDP_remco\smdp.py:118(step)
  3024426    8.414    0.000  197.957    0.000 c:\Users\s144763\OneDrive - TU Eindhoven\Documents\Github\SMDP_remco\smdp.py:101(sample_next_task)
  3024426   32.471    0.000  173.338    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\numpy\core\numeric.py:2249(isclose)
  3024426   27.028    0.000   82.450    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\numpy\core\numeric.py:2330(within_tol)
  6048852    6.256    0.000   48.224    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\numpy\core\fromnumeric.py:2421(all)
  6048902   11.845    0.000   41.969    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
  8979678   14.177    0.000   34.493    0.000 c:\Users\s144763\OneDrive - TU Eindhoven\Documents\Github\SMDP_remco\crn.py:54(choice)
  2930826    6.550    0.000   32.752    0.000 c:\Users\s144763\OneDrive - TU Eindhoven\Documents\Github\SMDP_remco\smdp.py:260(random_policy)
  6048852    8.621    0.000   26.747    0.000 {method 'all' of 'numpy.generic' objects}
  6048852    9.512    0.000   23.104    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\numpy\core\_ufunc_config.py:33(seterr)
 12004104   13.831    0.000   21.954    0.000 c:\Users\s144763\OneDrive - TU Eindhoven\Documents\Github\SMDP_remco\crn.py:11(__sample)
  6048854    2.668    0.000   18.126    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\numpy\core\_methods.py:61(_all)
