xgboost, v1, mdp, -9634.235352844335
Greedy, None, mdp, -15138.83269632978
Random, None, mdp, -394059.82369235874
FIFO, None, mdp, -10218.405339532563
xgboost, v1, smdp, -10051.161330197663
Greedy, None, smdp, -15199.388830476513
Random, None, smdp, -399481.4666644654
FIFO, None, smdp, -9769.808209874145
xgboost, v2, mdp, -9698.848398211767
xgboost, v2, smdp, -10005.44986510531
neural_network, v1, smdp, -9526.919721860275
Greedy, None, smdp, -14917.783669584654
Random, None, smdp, -394685.91416035674
FIFO, None, smdp, -9993.699557597793
xgboost, v3, mdp, -10317.487229111315
xgboost, v3, smdp, -9844.43018600109
xgboost, v4, mdp, -9798.353222732509
xgboost, v4, smdp, -9773.655028539843
xgboost, v5, mdp, -9843.089475018565
xgboost, v5, smdp, -10260.745275325842
xgboost, v6, mdp, -9473.790682942372
xgboost, v6, smdp, -9608.783475284754
xgboost, v7, mdp, -10006.150531452955
xgboost, v7, smdp, -9777.205910587352
xgboost, v8, mdp, -9490.16927354853
xgboost, v8, smdp, -10409.520332429627
xgboost, v9, mdp, -9940.042809557284
xgboost, v9, smdp, -10196.639915553822
xgboost, v10, mdp, -9746.26608013244
xgboost, v10, smdp, -9783.166013455908
neural_network, v1, mdp, -123146.89359501362
Greedy, None, mdp, -14273.790595266724
Random, None, mdp, -416279.0657918047
FIFO, None, mdp, -9874.450610011918
