xgboost, v1, smdp, -23372.003842640937
Greedy, None, smdp, -18382.463994152356
Random, None, smdp, -527019.2227701672
FIFO, None, smdp, -23876.070297564183
xgboost, v1, mdp, -67035.89801832766
Greedy, None, mdp, -20083.29263998285
Random, None, mdp, -538300.5932442448
FIFO, None, mdp, -23030.92157035496
xgboost, v2, smdp, -22776.62600155958
xgboost, v2, mdp, -47735.70518343813
xgboost, v3, smdp, -23594.098983179036
xgboost, v3, mdp, -57634.12765317333
neural_network, v1, mdp, -22058.514688103813
Greedy, None, mdp, -19571.064907019772
Random, None, mdp, -530607.139347533
FIFO, None, mdp, -23930.270105626914
xgboost, v4, smdp, -22620.321098973473
neural_network, v1, smdp, -22811.70943220579
Greedy, None, smdp, -18712.327430567264
Random, None, smdp, -528931.7647755716
FIFO, None, smdp, -24755.74566770805
xgboost, v4, mdp, -81185.0150453107
xgboost, v5, smdp, -24287.74275481871
xgboost, v5, mdp, -54112.46455097078
xgboost, v6, smdp, -24033.524521090112
xgboost, v6, mdp, -73140.17068330573
xgboost, v7, smdp, -22755.913431552737
xgboost, v7, mdp, -59856.10752880491
xgboost, v8, smdp, -24475.57847970639
xgboost, v9, smdp, -22716.1713278657
xgboost, v8, mdp, -72422.525657685
xgboost, v10, smdp, -23639.40371160563
xgboost, v9, mdp, -56212.321638038404
xgboost, v10, mdp, -57437.90596799532
