xgboost, v1, smdp, -5879.227091148116
Greedy, None, smdp, -5800.921176720059
Random, None, smdp, -286893.2949618955
FIFO, None, smdp, -5875.515242009514
xgboost, v1, mdp, -6126.713349381121
Greedy, None, mdp, -5828.305020961187
Random, None, mdp, -286440.2912010711
FIFO, None, mdp, -5994.141823665697
xgboost, v2, smdp, -6030.172510352729
xgboost, v2, mdp, -5923.835026042632
neural_network, v1, smdp, -6036.9691122791955
Greedy, None, smdp, -6031.240168215178
Random, None, smdp, -289440.26437093713
FIFO, None, smdp, -5990.400177653304
xgboost, v3, smdp, -5896.05404201514
xgboost, v3, mdp, -6096.266360585438
xgboost, v4, smdp, -5772.019612503811
xgboost, v4, mdp, -6021.192848394559
xgboost, v5, smdp, -5917.141769832037
xgboost, v5, mdp, -5793.065623638691
xgboost, v6, smdp, -5930.533874275482
xgboost, v6, mdp, -5879.252809554618
neural_network, v2, smdp, -5858.4713916039545
xgboost, v7, smdp, -6074.666962084805
xgboost, v7, mdp, -5935.7553577582785
xgboost, v8, smdp, -6004.3664983634235
xgboost, v8, mdp, -5927.90241808266
xgboost, v9, smdp, -6051.508420087198
xgboost, v9, mdp, -5905.105763232863
neural_network, v3, smdp, -5824.22836740308
xgboost, v10, smdp, -5904.70015322173
xgboost, v10, mdp, -5743.427734777078
neural_network, v1, mdp, -37155.69886569169
Greedy, None, mdp, -5831.1814713744225
Random, None, mdp, -283990.54162789026
FIFO, None, mdp, -5848.750294933725
neural_network, v4, smdp, -5773.833645911726
neural_network, v5, smdp, -5771.020244923097
neural_network, v2, mdp, -6497.692313453381
neural_network, v6, smdp, -5731.126303514624
neural_network, v7, smdp, -6127.654127485651
neural_network, v3, mdp, -443691.9588113315
neural_network, v4, mdp, -644315.9235173078
neural_network, v5, mdp, -6085.706957037668
neural_network, v6, mdp, -5707.882423793172
