xgboost, v1, smdp, -6418.439608618385
Greedy, None, smdp, -6942.752935824519
Random, None, smdp, -9125.460470942053
FIFO, None, smdp, -5989.203801934574
xgboost, v1, mdp, -5830.219306298099
Greedy, None, mdp, -7336.0540387292685
Random, None, mdp, -9621.208117559403
FIFO, None, mdp, -5857.83425492311
xgboost, v2, smdp, -6359.232535236673
xgboost, v2, mdp, -6001.8141541097475
xgboost, v3, smdp, -6164.163422705049
xgboost, v3, mdp, -5885.79469968561
xgboost, v4, smdp, -6150.464188691459
xgboost, v4, mdp, -5840.071863001997
neural_network, v1, smdp, -5643.189152902961
Greedy, None, smdp, -7070.241093960101
Random, None, smdp, -9150.281304044589
FIFO, None, smdp, -5794.978165652976
neural_network, v1, mdp, -5776.657883499418
Greedy, None, mdp, -6973.7538762720815
Random, None, mdp, -9226.126839395898
FIFO, None, mdp, -5868.179139624698
xgboost, v5, smdp, -6304.053835911022
xgboost, v5, mdp, -5927.899612921967
xgboost, v6, smdp, -6267.949369021538
xgboost, v6, mdp, -5885.373957165292
xgboost, v7, smdp, -6262.070687872291
xgboost, v7, mdp, -5848.044674039598
xgboost, v8, smdp, -6189.401090661168
xgboost, v8, mdp, -5802.66364221093
neural_network, v2, smdp, -5784.026101655663
xgboost, v9, smdp, -6278.400680573392
xgboost, v9, mdp, -5849.081007377457
neural_network, v2, mdp, -5832.4646108516645
xgboost, v10, smdp, -6374.16266508017
xgboost, v10, mdp, -5843.052988051529
neural_network, v3, smdp, -6537.788018141461
neural_network, v3, mdp, -6110.605505686982
neural_network, v4, smdp, -5852.171827028047
neural_network, v4, mdp, -5833.739326138402
neural_network, v5, smdp, -5852.263611918669
neural_network, v6, smdp, -5727.095402728138
neural_network, v5, mdp, -11770.282716884867
neural_network, v7, smdp, -5768.785949929329
neural_network, v6, mdp, -5709.354541425858
neural_network, v8, smdp, -5901.0995311194965
neural_network, v7, mdp, -5886.892828039036
neural_network, v9, smdp, -5540.909017124963
neural_network, v10, smdp, -5782.129774154688
neural_network, v8, mdp, -9267.669611722777
neural_network, v9, mdp, -8288.921623491085
neural_network, v10, mdp, -5735.707315256038
