time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/approx_kl,train/policy_gradient_loss,rollout/ep_len_mean,train/clip_range,train/n_updates,train/loss,rollout/ep_rew_mean,train/entropy_loss,train/clip_fraction,train/explained_variance,train/value_loss
25600,19,1338,1,,,,,,,,,,,,
51200,41,1233,2,2.9923200000000002e-05,4.4552145e-08,-2.3074321215972303e-06,25997.0,0.2,10,4983512.5,-3541124.204717,-0.3900848426222801,0.0,-3.2186508178710938e-06,9981596.304
76800,64,1199,3,2.98464e-05,1.9250438e-08,-9.863963932730258e-07,25991.0,0.2,20,4490648.5,-3480580.4456545003,-0.3886001936197281,0.0,0.00023311376571655273,9161018.212
102400,87,1168,4,2.97696e-05,3.149267e-08,-1.463047810830176e-06,25791.333333333332,0.2,30,3796757.0,-3294842.3154923334,-0.3910385754704475,0.0,0.00021660327911376953,6963495.8015
128000,132,962,5,2.96928e-05,2.404442e-08,-1.5884985914453864e-06,25612.5,0.2,40,3704031.5,-3261426.65387375,-0.3934195614755154,0.0,0.0001996755599975586,8172875.1515
153600,463,331,6,2.9616e-05,2.1555461e-08,-1.7571320058777928e-06,25753.2,0.2,50,5897676.0,-3363595.7715350003,-0.38091699627041814,0.0,7.367134094238281e-05,11177406.516
179200,492,363,7,2.95392e-05,5.6291466e-08,-3.070065751671791e-06,25764.166666666668,0.2,60,4970128.5,-3408185.399571167,-0.3877530119121075,0.0,5.1975250244140625e-05,10301715.425
204800,524,390,8,2.94624e-05,3.263587e-08,-1.5407128958031535e-06,25819.571428571428,0.2,70,4771827.5,-3422652.8718705713,-0.386584825694561,0.0,3.361701965332031e-05,9606285.2215
230400,549,419,9,2.93856e-05,5.092006e-08,-2.4847262538969515e-06,25804.875,0.2,80,5506555.0,-3475417.7726637498,-0.39186193293333055,0.0,2.8252601623535156e-05,11412307.867
256000,573,446,10,2.9308800000000003e-05,7.718801e-08,-3.0374109046533704e-06,25807.11111111111,0.2,90,4365095.5,-3443287.8434838885,-0.3879941225349903,0.0,2.6166439056396484e-05,8184798.437
281600,906,310,11,2.9232e-05,9.755604e-09,-5.350995343178511e-07,25824.2,0.2,100,5275779.5,-3463830.6459680996,-0.3892024703323841,0.0,1.5795230865478516e-05,10467761.032
307200,942,325,12,2.91552e-05,3.4300612e-08,-2.356772543862462e-06,25771.363636363636,0.2,110,4888733.0,-3460427.943813363,-0.39804555943608283,0.0,7.450580596923828e-06,9246608.6285
332800,971,342,13,2.9078400000000003e-05,1.0884833e-08,-1.1375488247722387e-06,25792.083333333332,0.2,120,5693410.0,-3490054.0531129166,-0.3856403366625309,0.0,6.794929504394531e-06,11324509.335
358400,997,359,14,2.90016e-05,1.8035061e-08,-8.703460916876793e-07,25836.23076923077,0.2,130,5766596.0,-3517980.898754846,-0.38485511419177054,0.0,2.9206275939941406e-06,11408556.924
384000,1028,373,15,2.89248e-05,1.0423828e-08,-7.30011030100286e-07,25890.285714285714,0.2,140,5325174.5,-3544671.5442529996,-0.38283017855882645,0.0,2.3245811462402344e-06,11279485.776
409600,1361,300,16,2.8848000000000002e-05,5.5672135e-08,-2.951750997453928e-06,25880.266666666666,0.2,150,5379967.0,-3564486.8628700664,-0.39217803287506103,0.0,2.1457672119140625e-06,11632901.176
