#{"t_start": 1733223098.3779752, "env_id": "None"}
r,l,t
-3712953.927886,9000,124.200753
-3286969.43057,9000,129.966659
-3704010.674443,9000,135.749814
-3666218.165349,9000,141.522529
-3905899.389052,9000,147.294055
-3720198.749513,9000,153.062644
-3678412.048603,9000,158.838896
-4129220.320354,9000,164.611251
-3787575.282668,9000,170.370331
-3325556.081802,9000,176.138863
-3294878.976283,9000,181.85905
-3452403.642766,9000,187.625556
-3824517.171883,9000,193.380708
-3818526.519197,9000,-4040293.858834,9000,244.329231
-3244440.832725,9000,251.368835
-3614194.651779,9000,258.417069
-3474860.20042,9000,268.701957
-3406719.469171,9000,275.783726
-3909778.159962,9000,286.157511
-3155977.6594-3683960.613031,9000,357.664967
-3152130.606785,9000,363.410117
-3552951.179502,9000,369.157916
-2942731.079132,9000,374.914195
-3183706.72545,9000,380.658771
-3599746.810117,9000,386.406915
-3344628.068951,9000,392.132744
-3334589.141409,90-3235182.21132,9000,475.812584
-3974016.80119,9000,482.841002
-3710990.75237,9000,489.884138
-3952853.870623,9000,500.234973
-3485011.01097,9000,507.269153
-3132840.607199,9000,514.326838
-3345641.166066,9000,524.680354
-3854046.843383,9000,531.738923
-3091823.067129,9000,542.21041
-3148102.673051,9000,549.267969
-3277434.873718,9000,556.321489
-3279805.174699,9000,566.883063
-3806170.138857,9000-3343668.944877,9000,589.625284
-3701232.753-3706237.382294,9000,706.244365
-3623473.488967,9000,713.272153
-2977900.651558,9000,720.302065
-3627293.674997,9000,730.621208
-3453590.047404,9000,737.677954
-3231608.378661,9000,744.741871
-3924806.06136,9000,755.178874
-3606162.505901,9000,762.248458
-3700702.295126,9000,769.319043
-3446682.327516,9000,779.872997
-3529324.900449,9000,786.933018
-3594923.193133,9000,793.991239
-3612969.443501,9000,804.274036
-3516019.199973,9000,811.327306
-3087851.1945,9000,936.346786
-3412173.124166,9000,943.396982
-3484050.245092,9000,950.458184
-3698610.055724,9000,960.759403
-3599628.15732,9000,967.808414
-3316740.216758,9000,974.848346
-3488590.38998,9000,985.19811
-3085693.197233,9000,992.256552
-3042332.32062,9000,999.304713
-3485809.900012,9000,1009.563935
-3829843.685339,9000,1016.627516
-3516769.861959,9000,1023.668973
-3045884.241214,9000,1034.04515
-3343857.55651,9000,1041.10464
-3025008.633333,9000,1048.125083
-3783793.998436,9000,1173.068717
-3500213.96104,9000,1180.089271
-3710044.310071,9000,1190.348615
-3166348.288405,9000,1197.405282
-3577576.589216,9000,1204.468656
-3419228.631242,9000,1214.71551
-3212875.677123,9000,1221.763146
-3590532.924814,9000,1228.819681
-3325277.408265,9000,1239.306017
-3269535.919372,9000,1246.38274
-3056853.797341,9000,1253.477278
-3923672.36899,9000,1263.791756
-2986926.651529,9000,1270.857696
-3155336.725742,9000,1277.940094
-3286090.470068,9000,1403.211086
-3489213.650284,9000,1410.227759
-3199498.627509,9000,1417.251924
-3591438.062697,9000,1427.489884
-3602523.151764,9000,1434.540374
-3265828.871311,9000,1441.609262
-3544879.878165,9000,1452.03075
-3866833.534807,9000,1459.118371
-3463423.254933,9000,1469.70308
-3791309.54649,9000,1476.766536
-3553895.058982,9000,1483.798599
-3580840.159556,9000,1494.183681
-3453432.538209,9000,1501.214995
-3326758.390891,9000,1508.2363
-3515229.21499,9000,1633.159966
-3314718.586512,9000,1640.207314
-3481804.165248,9000,1647.262787
-3400127.174207,9000,1657.700923
-3037339.897609,9000,1664.745961
-3034167.666002,9000,1671.787366
-3167100.345179,9000,1682.321419
-3340040.551715,9000,1689.38643
-3715972.084561,9000,1696.463857
-3357797.900027,9000,1707.173154
-3351489.32769,9000,1714.221534
-3250845.81809,9000,1724.507863
-2935501.104253,9000,1731.565155
-3287765.761792,9000,1738.574883
-3277111.497001,9000,1863.686227
-3216500.219333,9000,1870.735383
-3302622.636397,9000,1877.761387
-2960029.168777,9000,1888.039124
-2992568.738101,9000,1895.0723
-2762556.159518,9000,1902.125598
-3344433.426753,9000,1912.41259
-3312032.655905,9000,1919.457094
-3631760.559297,9000,1926.509094
-3236691.832194,9000,1936.905733
-3091573.977529,9000,1943.946256
-3201793.767925,9000,1950.988412
-2974974.848398,9000,1961.245244
-3001170.168193,9000,1968.287932
-3626127.646933,9000,1975.355339
-3247089.528303,9000,2100.494372
-3232736.560042,9000,2107.554152
-3519835.834691,9000,2117.828933
-3216082.783932,9000,2124.88401
