time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/clip_range,train/explained_variance,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/loss
20,9000.0,25600,-3985895.6174195,1271,1,,,,,,,,,,
43,9000.0,51200,-3760939.527976,1164,2,0.0,0.2,-9.775161743164062e-06,-1.1010013448596,2.9923200000000002e-05,104236160.376,7.3587756e-07,-1.9372582319192588e-05,10,50529512.0
67,9000.0,76800,-3768594.406967375,1131,3,0.0,0.2,7.665157318115234e-05,-1.1179596039056778,2.98464e-05,89144517.48,4.3128617e-07,-1.571437204256654e-05,20,48600544.0
92,9000.0,102400,-3778583.5219976366,1112,4,0.0,0.2,6.651878356933594e-05,-1.1166288189888,2.97696e-05,101181411.048,2.631871e-07,-1.1458150227554142e-05,30,50193868.0
115,9000.0,128000,-3713002.297668357,1108,5,0.0,0.2,4.607439041137695e-05,-1.112865309357643,2.96928e-05,103891646.776,1.2823847e-07,-6.129324377980083e-06,40,53395528.0
253,9000.0,153600,-3698880.088864412,604,6,0.0,0.2,3.159046173095703e-05,-1.108482353568077,2.9616e-05,91860442.736,2.7897303e-07,-1.2902316520921885e-05,50,45855040.0
277,9000.0,179200,-3671712.6936992635,646,7,0.0,0.2,1.6927719116210938e-05,-1.1150756549835206,2.95392e-05,102213519.552,3.0943193e-07,-1.4717224636115134e-05,60,44733584.0
300,9000.0,204800,-3652386.9265075456,681,8,0.0,0.2,7.927417755126953e-06,-1.105337921500206,2.94624e-05,97199468.76,4.5390334e-07,-1.970134815201163e-05,70,52745480.0
325,9000.0,230400,-3648701.8481390406,707,9,0.0,0.2,1.1146068572998047e-05,-1.0901011320948601,2.93856e-05,71751593.764,8.100667e-07,-3.099709079833701e-05,80,34442916.0
348,9000.0,256000,-3610714.8297218936,733,10,0.0,0.2,6.4373016357421875e-06,-1.1062666816115378,2.9308800000000003e-05,96321491.208,2.2212974e-07,-9.790269657969475e-06,90,48570244.0
486,9000.0,281600,-3613554.9999062265,578,11,0.0,0.2,4.470348358154297e-06,-1.1173865612745284,2.9232e-05,81971449.212,2.2564782e-07,-9.92220698390156e-06,100,43350376.0
510,9000.0,307200,-3605615.0142907356,602,12,0.0,0.2,2.384185791015625e-06,-1.1053232460021973,2.91552e-05,101119522.208,2.3779693e-07,-1.0829028324224055e-05,110,58345696.0
533,9000.0,332800,-3605294.402648167,623,13,0.0,0.2,2.086162567138672e-06,-1.104586347937584,2.9078400000000003e-05,96443850.208,3.98478e-07,-1.815995969809592e-05,120,48415640.0
557,9000.0,358400,-3571998.9515187694,643,14,0.0,0.2,1.1324882507324219e-06,-1.11544664311409,2.90016e-05,90439653.376,3.2758106e-07,-1.5026995446532964e-05,130,44764904.0
580,9000.0,384000,-3571547.8619248094,661,15,0.0,0.2,9.5367431640625e-07,-1.0923401234149932,2.89248e-05,67907527.844,5.27557e-07,-2.0259772310964764e-05,140,35431504.0
718,9000.0,409600,-3562502.704970245,569,16,0.0,0.2,5.960464477539062e-07,-1.0992091315984727,2.8848000000000002e-05,95409852.648,2.6452588e-07,-1.2307549477554858e-05,150,45100040.0
742,9000.0,435200,-3554689.871348396,586,17,0.0,0.2,5.960464477539062e-07,-1.1071531403064727,2.87712e-05,86950640.808,2.7498464e-07,-1.2317357584834099e-05,160,41632420.0
765,9000.0,460800,-3565819.3075903924,601,18,0.0,0.2,2.980232238769531e-07,-1.103530072927475,2.86944e-05,87798232.296,1.8620864e-07,-8.301217807456852e-06,170,49697700.0
789,9000.0,486400,-3563476.2057075556,616,19,0.0,0.2,2.980232238769531e-07,-1.1077668971419334,2.8617600000000002e-05,103191774.12,1.0092743e-07,-5.317614763043821e-06,180,48061108.0
812,9000.0,512000,-3563512.566994321,630,20,0.0,0.2,2.384185791015625e-07,-1.1123121896386146,2.85408e-05,94900965.8,2.408633e-07,-1.2051715864799917e-05,190,51129604.0
950,9000.0,537600,-3551538.615515932,565,21,0.0,0.2,5.960464477539063e-08,-1.0930740808844566,2.8464e-05,87542781.384,3.2312934e-07,-1.4720486244186758e-05,200,43030328.0
973,9000.0,563200,-3550899.3023426128,578,22,0.0,0.2,5.960464477539063e-08,-1.1016880532503128,2.8387199999999998e-05,80304196.944,4.4557964e-07,-1.8717593688052147e-05,210,50113588.0
997,9000.0,588800,-3534959.579278077,590,23,0.0,0.2,0.0,-1.1070936912298202,2.83104e-05,89892849.988,3.3706658e-07,-1.5930294757708907e-05,220,43770732.0
1020,9000.0,614400,-3538305.8250056617,602,24,0.0,0.2,0.0,-1.1026636692881584,2.82336e-05,74938246.464,2.2426946e-07,-9.742197231389582e-06,230,36830684.0
1043,9000.0,640000,-3521402.063823127,613,25,0.0,0.2,2.384185791015625e-07,-1.1026362552642823,2.8156799999999998e-05,98767005.832,3.7879917e-07,-1.8873339053243398e-05,240,55076660.0
1181,9000.0,665600,-3524706.2259029862,563,26,0.0,0.2,5.960464477539063e-08,-1.0971259430646896,2.808e-05,75788229.9,4.9964524e-07,-2.2990688681602477e-05,250,41076412.0
1205,9000.0,691200,-3523125.311560658,573,27,0.0,0.2,0.0,-1.098890547156334,2.8003200000000003e-05,103554438.856,2.2903784e-07,-1.142947911284864e-05,260,48451896.0
