#{"t_start": 1733223098.3755639, "env_id": "None"}
r,l,t
-5183597.446478,29497,134.052538
-5001575.720803,28542,150.573254
-5168875.354556,29311,167.573233
-4569684.840804,28275,184.01749-4728633.687032,28495,465.721386
-4248497.718071,28034,491.922146
-4497105.131839,28143,515.857743
-4668450.436759,28528,540.335891
-4396532.793039,28348,564.246334
-4612503.675406,28154,926.595309
-4633475.216176,28331,950.510222
-4399858.04349,28435,974.669085
-5085055.810308,28577,999.114862
-4268620.956753,28458,1356.312331
-4304214.493815,28201,1380.213915
-4848271.397664,28965,1404.676349
-4747253.817436,28525,1428.771463
-4612490.284686,28807,1453.083739
-4295826.212275,28136,1813.984184
-5069739.170436,28728,1838.155577
-4549195.365941,28400,1863.193749
-4877760.440417,28606,1887.535373
-5233533.113792,29143,2245.029876
-4850714.869227,28710,2269.227382
-4876832.128779,28560,2293.336155
-4742170.365499,28788,2317.595043
-4325086.608491,28436,2677.226419
-4341420.608287,28289,2701.171465
-5009853.194138,29073,2725.652323
-5032266.245875,28711,2750.121363
-4172506.053747,28257,2805.218456
-4876845.184731,28494,3169.641147
-4583635.627275,28366,3333.632401
-4785941.280267,28574,3357.796341
-5032522.343388,28988,3382.310667
-4923840.584784,28939,3743.264618
-5001125.457856,28971,3794.675813
-4667199.743546,28401,3818.755067
-4807381.496223,28395,3903.680665
-4735095.713554,28661,3928.128241
-5111289.234354,29591,4308.93504
-4653056.130712,28149,4341.823287
-4434164.06286,28198,4365.779358
-4826489.048821,28681,4416.280434
-4357372.972574,27875,4772.975705
-4726776.059453,28045,4868.970766
-4412582.909579,28640,4998.093619
-4886945.804543,28280,5022.074545
-4830001.434578,29100,5155.076767
-4272991.35287,28020,5511.444478
-4870513.717725,28803,5554.797977
-5095416.210081,28609,5578.988662
-4702986.10697,28773,5654.115288
022
-4689495.291718,28715,1258.521234
-4355297.411032,28165,1274.967579
-4646874.974534,28431,1291.527272
-4861544.278954,28314,1308.013827
-5342465.948389,29421,1325.126748
-4509590.638816,27858,1341.382308
-4784308.951545,28594,1468.138484
-4590429.743644,28267,1484.605227
-5020940.709986,28650,1501.28178
-5198801.604306,29620,1518.49517
-4669109.260164,28404,1534.988003
-4672892.473226,28809,1551.691932
-4396158.857194,28592,1568.26959
-4818580.489812,28652,1584.873366
-4578198.995108,28322,1601.327271
-4899943.506545,28609,1617.915426
-4920784.822566,28351,1634.444482
-4681918.15302,27891,1650.774466
-4316792.731524,28415,1667.387752
-4906566.221702,29137,1684.387009
-4495302.740978,28597,1701.037898
-4819246.343345,28780,1717.810066
-4539559.069332,28557,1734.428095
-4989408.578186,29127,1751.340868
-5079739.025082,28830,1768.079166
-4530897.282344,28450,1784.638043
-4849939.211793,28561,1912.622455
-4927961.578748,28958,1929.485993
-4517949.79554,28188,1945.900492
-5148485.305787,28889,1962.693856
-4427882.476284,28140,1979.087453
-4158212.799622,27772,1995.249287
-4983329.526245,29134,2012.212313
-4134725.142635,28299,2028.716537
-5428165.88444,29622,2045.928479
-4436440.485195,27845,2062.147688
-4525378.297251,28261,2078.62345
-4335647.869058,28224,2095.085902
-4468820.584316,28159,2111.470019
-4589634.334898,28469,2128.06327
-4997093.512177,29081,2145.009264
-4912316.866244,28866,2161.847281
-4753279.976034,28665,2178.559232
-4913383.437062,29079,2195.505264
-4924154.931927,29314,2212.562867
-4611850.877824,28252,2229.048313
-4866706.401369,28097,2354.960966
