#{"t_start": 1733223098.3754334, "env_id": "None"}
r,l,t
-5067330.276934,9000,124.64045
-5154801.523066,9000,130.461157
-4560041.234241,9000,136.306289
-4607247.11477,9000,142.132896
-4761417.217103,9000,147.953321
-4864162.553392,9000,153.780107
-4858677.039755,9000,159.601678
-5089748.603388,9000,165.421758
-4686804.645605,9000,171.249628
-4929076.681367,9000,177.079811
-4859115.302947,9000,182.891418
-4065159.156702,9000,188.71213
-4322098.339616,9000,194.542162
-4489147.174039,9000,2-4702425.577668,9000,245.995996
-4816842.372889,9000,253.108727
-4433893.94373,9000,260.237484
-4002372.568456,9000,302.176211
-4795941.433074,9000,309.330453
-4483827.74526,9000,319.698873
-4634707.-4570384.032746,9000,411.180694
-4655141.694002,9000,416.983557
-4292002.999058,9000,422.780571
-5142068.841276,9000,428.577821
-4853373.030741,9000,434.382533
-4646818.98759,9000,440.182488
-4783918.187158,9000,445.964214
-4534924.686639,9000,451.-5066444.850212,9000,530.507201
-4719143.156823,9000,537.638853
-4884747.380581,9000,544.766519
-4445228.80904,9000,555.104567
-4761167.6881,9000,562.208866
-4865989.860859,9000,569.327348
-5066298.539469,9000,579.727794
-4364780.888532,9000,586.825968
-4531918.282378,9000,599.45194
-4513719.065863,9000,606.577701
-4133415.274125,9000,613.702359
-5142652.355224,9000,624.498791
-4504350.-4857507.248725,9000,647.716584
-4771315.780633,9000,653-3965831.805929,9000,765.866018
-4812048.693587,9000,773.019627
-4780151.614778,9000,780.16512
-4444131.073978,9000,790.912236
-4340555.351491,9000,798.021678
-4122040.111624,9000,805.154056
-4482669.903621,9000,815.521837
-4293662.201711,9000,822.609857
-4384799.719419,9000,829.705488
-4692545.279803,9000,840.263451
-4461779.840757,9000,847.365981
-4805162.59548,9000,854.480896
-4715501.539901,9000,865.065646
-4819001.778775,9000,872.172579
-4767781.191496,9000,1028.218579
-4519366.809446,9000,1035.298158
-4883129.073287,9000,1042.364225
-4466566.250272,9000,1062.338991
-4480250.048457,9000,1069.428513
-4654639.421727,9000,1076.51493
-4600121.019238,9000,1087.079592
-4500710.68141,9000,1094.166471
-4874898.418944,9000,1101.235845
-5412264.81356,9000,1124.453401
-4701506.19809,9000,1131.57721
-4748011.168144,9000,1138.698463
-4640602.768274,9000,1155.585808
-4626823.41044,9000,1162.671112
-4480448.940584,9000,1169.754956
-4018820.662544,9000,1295.811154
-4764952.767289,9000,1302.908049
-4039574.472932,9000,1330.816622
-4364949.843609,9000,1337.890044
-4618542.889776,9000,1344.965152
-4334514.19542,9000,1368.182773
-4526673.761844,9000,1375.298211
-4383654.272137,9000,1382.418835
-4208827.99707,9000,1392.716944
-4289503.749978,9000,1399.815862
-4548207.889067,9000,1406.886696
-4712011.857454,9000,1418.624366
-4269675.823101,9000,1425.708152
-4293723.378066,9000,1432.807627
-4471190.417941,9000,1576.287138
-4853851.168317,9000,1583.3993
-4490865.827171,9000,1590.507619
-4585724.26168,9000,1605.497142
-4589062.170815,9000,1612.593292
-3865440.649235,9000,1619.71274
-4559591.343168,9000,1630.012499
-4439439.30649,9000,1637.105099
-4290733.965768,9000,1686.139679
-4544277.712367,9000,1693.255799
-4042839.94526,9000,1700.372408
-3901366.02527,9000,1722.005006
-4341935.71407,9000,1729.114451
-4802816.620646,9000,1736.219333
-4422742.589992,9000,1862.457125
-4864417.951906,9000,1869.561796
-4546194.803111,9000,1876.652076
-4736950.770703,9000,1905.424759
-4611612.009446,9000,1912.511607
-4167183.444534,9000,1919.599731
-4426251.966857,9000,1929.918271
-4535650.637395,9000,1937.044893
-4506774.130162,9000,1944.158429
-4228820.244387,9000,1958.359993
-4316971.768291,9000,1965.499357
-4652015.514251,9000,1982.355657
-4605472.76792,9000,1989.457176
-4514080.157731,9000,1996.531014
-4605640.952139,9000,2131.636278
-4513569.080175,9000,2138.716128
-4480026.544888,9000,2145.796931
-4027304.143583,9000,2176.05314
-4777738.180278,9000,2183.154459
-4066683.222185,9000,2190.249037
-4752698.052761,9000,2200.548324
-4287343.52247,9000,2207.630949
-4736740.985896,9000,2214.716258
-4478245.888523,9000,2228.582269
-4415701.811157,9000,2235.658109
-4264595.829254,9000,2242.739918
-5202417.919558,9000,2253.055995
-4627305.07804,9000,2260.158741
-4491989.853729,9000,2267.265004
-4373542.048743,9000,2393.682871
-4764942.372241,9000,2400.771081
-4047792.85417,9000,2411.504145
-4391555.308011,9000,2418.616062
-4821291.910881,9000,2425.694614
-4127261.274574,9000,2442.883677
-4198971.420906,9000,2450.002223
-4529822.77078,9000,2457.13097
-4201058.910881,9000,2467.465951
-4073982.346919,9000,2474.566491
-4787500.751966,9000,2481.678878
-4456965.626947,9000,2491.982454
-4268673.115159,9000,2499.083562
-3908132.883191,9000,2506.190675
-4132721.979207,9000,2632.789817
-4432797.782577,9000,2639.918444
-4197083.92629,9000,2647.047387
-4376167.917553,9000,2662.33814
-4477611.629496,9000,2669.480686
-4578046.540109,9000,2679.803881
-4518368.161222,9000,2686.887494
-4647488.026411,9000,2693.98841
-4647668.614787,9000,2704.289148
-4545232.462605,9000,2711.41712
-4257224.727508,9000,2718.537354
-4175523.841206,9000,2728.853535
-4407315.517639,9000,2735.970801
-4275476.982785,9000,2743.078419
-4534268.220206,9000,2869.742803
-4492908.694175,9000,2876.872227
-4014961.244067,9000,2884.007419
-4351630.595929,9000,2894.312696
-4320111.26919,9000,2901.430406
-4317628.392421,9000,2908.528382
-4431474.073822,9000,2918.828896
-4546105.152658,9000,2925.937455
-4045466.937784,9000,2936.246741
-4625568.582594,9000,2943.346781
-5035081.47594,9000,2950.45923
-4466547.782206,9000,2960.797639
-4385524.241025,9000,2967.914908
-4332018.39981,9000,2975.021798
-4254052.687106,9000,3101.504815
-4382254.373555,9000,3108.613435
-4701720.763391,9000,3115.738276
-4106691.61171,9000,3126.061193
-4968783.853167,9000,3133.184195
-4366210.456503,9000,3140.294377
-4863927.436479,9000,3150.587049
-4148841.480581,9000,3157.702358
-4073047.830879,9000,3164.824374
-4402799.847429,9000,3175.177113
-4414573.285109,9000,3182.313521
-4177825.473045,9000,3189.454529
-4717381.095039,9000,3199.778978
-3760107.107873,9000,3206.910937
-4398753.921969,9000,3333.682202
-3943863.031458,9000,3340.776232
-4232564.185066,9000,3347.875629
-4465941.243566,9000,3358.221883
-4806064.102575,9000,3365.325779
-3787468.954732,9000,3372.418514
-4320111.697312,9000,3382.745648
-4062467.333117,9000,3389.851097
-4524986.657731,9000,3396.957996
-4044218.128433,9000,3407.270479
-4052376.84838,9000,3414.370924
-4574864.742209,9000,3421.468015
-4226089.812065,9000,3431.761364
-4417049.976579,9000,3438.833629
-4077208.789906,9000,3445.912616
-4407869.074652,9000,3572.310512
-4602747.542442,9000,3579.407542
-4864601.411788,9000,3589.747035
-4076823.112583,9000,3596.846055
-4318326.553945,9000,3603.960382
-4413112.335485,9000,3614.251311
-4752073.344681,9000,3621.341645
-4208892.586751,9000,3628.430943
-4165485.242702,9000,3638.719345
-4544394.403725,9000,3645.815874
-4587088.141716,9000,3652.904356
-4401923.963841,9000,3663.197778
-3885888.840532,9000,3670.307062
-4357306.106793,9000,3677.396352
-3672335.827301,9000,3804.100311
-3979031.915643,9000,3811.210964
-3844394.00783,9000,3818.30764
-4400454.791055,9000,3828.635634
-4689084.479976,9000,3835.756318
-4315892.723006,9000,3842.867814
-4424071.453755,9000,3853.169403
-4229534.879345,9000,3860.254994
-4300427.752908,9000,3870.526173
-4235926.325296,9000,3877.622356
-4211698.115297,9000,3884.705688
-4668844.76563,9000,3895.008588
-4373823.529488,9000,3902.087432
-4149844.441915,9000,3909.147359
-4869980.778965,9000,4035.545362
-4640139.550877,9000,4042.623543
-4645456.842995,9000,4049.693784
-4607330.260427,9000,4059.970275
-3898483.688955,9000,4067.073598
-4567335.465085,9000,4074.172964
-4162625.570106,9000,4084.475213
-4331381.30337,9000,4091.567396
-4867574.620275,9000,4098.66248
-4410738.77887,9000,4108.970816
-4152233.857117,9000,4116.074352
-4310008.701651,9000,4126.405005
-4581827.400423,9000,4133.511965
-4121410.154187,9000,4140.616294
-3796171.080529,9000,4267.226163
-4084986.607864,9000,4274.339833
-4251119.071368,9000,4281.454465
-4641249.349685,9000,4291.763479
-4510273.314718,9000,4298.852028
-4455529.007666,9000,4305.937388
-4204407.931674,9000,4316.240971
-3940279.503051,9000,4323.319232
-4491326.073503,9000,4330.404531
-4186894.816835,9000,4340.698961
-4480004.965898,9000,4347.796222
-4419916.436393,9000,4354.888908
-3921988.05977,9000,4365.191502
-4340007.513862,9000,4372.291029
-4386012.048734,9000,4379.406774
-3896659.8133,9000,4506.108926
-4908737.834007,9000,4513.19718
-4359008.45888,9000,4523.497029
-4286904.058776,9000,4530.594142
-4676827.951033,9000,4537.685459
-4587011.75105,9000,4547.990844
-4006705.894668,9000,4555.090261
-4183501.283631,9000,4562.199967
-3815868.13507,9000,4572.507904
-4147549.602394,9000,4579.631225
-4741346.392861,9000,4586.747253
-4296925.301694,9000,4597.064625
-4356586.318823,9000,4604.179184
-4961915.930455,9000,4611.283089
-4012772.580347,9000,4737.5543
-4829195.461015,9000,4744.650414
-4292405.962363,9000,4751.752752
-3818735.181264,9000,4762.067621
-4015830.636877,9000,4769.156896
-4484164.088756,9000,4779.471323
-4607615.497969,9000,4786.606539
-3945896.635131,9000,4793.758863
-4057815.156529,9000,4804.130568
-3974329.141595,9000,4811.271901
-4385459.729029,9000,4818.409899
-3983952.784574,9000,4828.743636
-4558899.540947,9000,4835.870369
-3898766.804442,9000,4843.004395
-4268004.018313,9000,4969.489601
-3815863.501167,9000,4976.59358
-4273163.431985,9000,4983.699447
-3976857.659874,9000,4994.185492
-4436630.958422,9000,5001.290587
-4280169.424864,9000,5008.387171
-4540661.838467,9000,5018.634978
-5016779.026203,9000,5025.694654
-3949738.587702,9000,5035.943352
-4045459.152044,9000,5043.006341
-4529653.787002,9000,5050.057959
-3886977.373762,9000,5060.34881
-3568265.250523,9000,5067.449905
-3887839.669061,9000,5074.541976
-3789841.350402,9000,5200.896483
-3813192.182906,9000,5207.997102
-4611795.71381,9000,5215.092409
-4057611.115375,9000,5225.413719
-4293106.33418,9000,5232.536992
-3853283.550402,9000,5239.652028
-3864560.541924,9000,5249.962003
-4600480.532495,9000,5257.078087
-4624561.658819,9000,5264.187839
-4237963.054386,9000,5274.475851
-3858349.464325,9000,5281.559237
-4453939.307977,9000,5288.66015
