rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss
-4837159.250700001,25600,20,9000.0,1256,1,,,,,,,,,,
-4921153.6864144,51200,43,9000.0,1167,2,-1.7576261481735857e-05,0.0,6.258487701416016e-06,81729144.0,166873305.264,10,2.9923200000000002e-05,5.3096795e-07,0.2,-1.075630438029766
-4818376.933563501,76800,67,9000.0,1137,3,-6.858333596028388e-06,0.0,8.046627044677734e-05,88059136.0,166247514.36,20,2.98464e-05,1.4592194e-07,0.2,-1.084169056713581
-4813738.713053909,102400,90,9000.0,1125,4,-8.09148687403649e-06,0.0,7.736682891845703e-05,87814496.0,163682225.36,30,2.97696e-05,1.4200342e-07,0.2,-1.0939803953170777
-4865397.003619358,128000,115,9000.0,1105,5,-4.622801439836621e-06,0.0,4.982948303222656e-05,81656144.0,177584440.344,40,2.96928e-05,7.0270616e-08,0.2,-1.087222761929035
-4827571.761468118,153600,255,9000.0,600,6,-5.964166950434446e-06,0.0,2.7239322662353516e-05,110671120.0,203080948.976,50,2.9616e-05,8.162344e-08,0.2,-1.095812232017517
-4782475.470867789,179200,310,9000.0,576,7,-5.192721961066127e-06,0.0,1.913309097290039e-05,87132936.0,172754374.12,60,2.95392e-05,7.174211e-08,0.2,-1.0898751381635665
-4755930.057986318,204800,334,9000.0,612,8,-1.0034392355009914e-05,0.0,6.854534149169922e-06,80052832.0,154638565.584,70,2.94624e-05,1.744763e-07,0.2,-1.080886147558689
-4741323.25380872,230400,373,9000.0,616,9,-1.169798441696912e-05,0.0,6.318092346191406e-06,68624384.0,138416988.816,80,2.93856e-05,2.3231608e-07,0.2,-1.0819290236234664
-4736304.098525928,256000,402,9000.0,636,10,-3.533931914716959e-06,0.0,3.874301910400391e-06,90158656.0,160132771.504,90,2.9308800000000003e-05,5.413545e-08,0.2,-1.0942883325219155
-4751188.714398129,281600,541,9000.0,519,11,-4.4320671586319806e-06,0.0,2.1457672119140625e-06,86711176.0,174306430.44,100,2.9232e-05,7.026596e-08,0.2,-1.0948612584471702
-4745859.8971865,307200,565,9000.0,543,12,-5.084454838652164e-06,0.0,1.7285346984863281e-06,89559752.0,184392351.552,110,2.91552e-05,8.665957e-08,0.2,-1.1058605433702469
-4744175.4425650565,332800,588,9000.0,565,13,-6.586635601706803e-06,0.0,1.430511474609375e-06,81063392.0,176573948.608,120,2.9078400000000003e-05,1.05646905e-07,0.2,-1.0922417128682136
-4717163.296274565,358400,614,9000.0,583,14,-9.523495740722864e-06,0.0,8.940696716308594e-07,86863840.0,171780523.808,130,2.90016e-05,1.4347722e-07,0.2,-1.0928400235772133
-4726695.012669857,384000,638,9000.0,601,15,-1.1727499775588513e-05,0.0,7.748603820800781e-07,78198280.0,146413423.736,140,2.89248e-05,1.8890947e-07,0.2,-1.0646801320314407
-4712871.614365067,409600,778,9000.0,525,16,-1.0288313904311507e-05,0.0,4.172325134277344e-07,60460444.0,148919732.432,150,2.8848000000000002e-05,1.8227146e-07,0.2,-1.0943661448955535
-4687207.274656687,435200,802,9000.0,542,17,-6.060438230633735e-06,0.0,2.980232238769531e-07,84502632.0,159952492.656,160,2.87712e-05,9.233597e-08,0.2,-1.096938915371895
