#{"t_start": 1733473114.254047, "env_id": "None"}
r,l,t
-84946.63307,18295,372.574871
-70257.288095,18861,386.576808
-82291.269429,18370,399.736618
-121005.571184,18600,414.057002
-82126.24683,18470,427.544665
-125508.854555,18200,440.472564
-179232.545113,18210,453.287083
-194649.656419,18075,465.949711
-115154.769942,18170,478.631811
-175912.090391,17805,490.936519
-95535.416491,17951,841.52395
-111522.939245,18359,858.840684
-136161.980121,18325,873.281669
-81346.806756,18136,886.394201
-122046.380385,18069,899.676182
-317720.843813,18489,915.252443
-127641.813321,18189,932.017655
-107078.997334,18209,949.219603
-98326.465379,18272,966.768476
-119647.051807,18423,984.564045
-215461.83989,18131,1403.080483
-104587.989534,18438,1417.606561
-187969.074876,18588,1431.43271
-79636.239168,18421,1445.157923
-88754.821251,18005,1458.315377
-51313.360474,18623,1471.830045
-112887.792823,18190,1484.887358
-95718.774934,17963,1497.587685
-68265.015262,18669,1510.626673
-633717.118121,18640,1523.6203
-123910.969065,18405,1840.448882
-151020.681622,17842,1852.921749
-81560.836066,18061,1865.54931
-92009.600312,18174,1878.357766
-266837.208855,18011,1891.81459
-96512.550305,17908,1904.984609
-192396.014459,17903,1918.07016
-125781.225189,17794,1931.177592
107749.0891,18381,1298.510654
-109744.028965,18087,1328.807814
-66898.828169,18637,1359.63411
-93347.783571,18382,1378.369315
-129630.085607,18004,1539.149559
-114836.059629,18320,1562.430866
-95586.423476,18237,1578.225762
-85724.07287,18378,1602.151275
-99862.008999,18153,1627.446164
-94061.214605,18227,1652.001044
-188331.457836,18301,1668.896819
-97382.669464,18312,1692.366309
-58211.305117,18106,1715.487347
-196861.292626,17921,1731.276915
-200800.165371,18075,1754.55143
-101527.903802,17956,1778.812202
-157330.212351,18273,1802.120366
-60390.603562,18376,1818.647138
