rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/value_loss,train/loss,train/clip_range,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/policy_gradient_loss
-1537345.826477,25600,1,19,1334,13949.0,,,,,,,,,,
-1407914.835272,51200,2,41,1237,13808.333333333334,2.140319e-07,5810695.64,2526179.5,0.2,0.0,2.9923200000000002e-05,3.0338764190673828e-05,10,-0.32205234441161157,-3.976474166847765e-06
-1430708.7929476,76800,3,63,1201,13938.4,9.839423e-09,4202863.067,2240570.5,0.2,0.0,2.98464e-05,0.00041174888610839844,20,-0.296464922785759,-2.2183783585205674e-07
-1467255.234259857,102400,4,86,1183,13979.714285714286,6.571412e-08,5749912.485,2731588.25,0.2,0.0,2.97696e-05,0.0005306005477905273,30,-0.2990655764490366,-2.1469847997650503e-06
-1450661.0864075555,128000,5,109,1174,13949.333333333334,2.3476314e-07,7076177.4315,3712194.5,0.2,0.0,2.96928e-05,0.00021463632583618164,40,-0.278835280418396,-5.820565158501267e-06
-1463721.0113683634,153600,6,296,518,13960.90909090909,1.1300668e-07,5617683.2565,2796859.5,0.2,0.0,2.9616e-05,0.00022071599960327148,50,-0.2937020106166601,-2.7509897481650114e-06
-1476498.0517759996,179200,7,332,538,13948.083333333334,7.4908606e-08,6979891.629,3185994.5,0.2,0.0,2.95392e-05,8.13603401184082e-05,60,-0.2881838251799345,-2.1879514097236095e-06
-1460396.9161862857,204800,8,355,576,13920.0,3.479188e-08,5950742.5225,3141844.75,0.2,0.0,2.94624e-05,7.528066635131836e-05,70,-0.32102154317498205,-1.8889709608629347e-06
-1433664.4510981874,230400,9,377,609,13879.3125,1.2529316e-07,4232692.0655,1779524.875,0.2,0.0,2.93856e-05,7.748603820800781e-05,80,-0.30143827010691165,-2.692451700568199e-06
-1419779.990966333,256000,10,401,637,13878.055555555555,7.7020374e-08,4860745.4355,2499798.5,0.2,0.0,2.9308800000000003e-05,3.68952751159668e-05,90,-0.2931267304420471,-2.8040748438797893e-06
-1418150.2376694498,281600,11,587,479,13869.55,3.101374e-07,4640520.7375,2337189.75,0.2,0.0,2.9232e-05,2.205371856689453e-05,100,-0.29670514595508574,-7.023489684797824e-06
-1416199.5170375,307200,12,609,504,13874.136363636364,6.091781e-08,5709057.5525,2867560.5,0.2,0.0,2.91552e-05,1.1324882507324219e-05,110,-0.29709529466927054,-1.438869396224618e-06
-1414128.4429157393,332800,13,631,526,13881.04347826087,4.2121393e-08,5731666.338,2732564.75,0.2,0.0,2.9078400000000003e-05,1.2218952178955078e-05,120,-0.292830515190959,-1.0945030953735112e-06
-1412507.5429098404,358400,14,656,545,13884.96,4.0836166e-08,6733555.144,3320829.0,0.2,0.0,2.90016e-05,3.3974647521972656e-06,130,-0.294883849337697,-1.1516097583808005e-06
-1427756.7196521852,384000,15,691,555,13895.333333333334,2.066139e-08,5649038.481,2687857.0,0.2,0.0,2.89248e-05,4.470348358154297e-06,140,-0.312529395326972,-5.613606190308929e-07
-1436332.020366276,409600,16,878,466,13907.51724137931,4.8731454e-09,5147530.243,2266982.75,0.2,0.0,2.8848000000000002e-05,3.5762786865234375e-06,150,-0.2929721995443106,-1.3775972183793783e-07
-1442493.5380666452,435200,17,907,479,13919.225806451614,1.04517675e-08,6647053.0435,3260803.0,0.2,0.0,2.87712e-05,2.1457672119140625e-06,160,-0.2827130977064371,-3.346162848174572e-07
-1431705.8765941213,460800,18,929,495,13911.030303030304,6.027985e-08,6496051.3945,3190874.0,0.2,0.0,2.86944e-05,1.6093254089355469e-06,170,-0.293932658880949,-1.8705963157117366e-06
-1431313.3476725882,486400,19,952,510,13916.176470588236,3.0407915e-07,4710408.66625,2251790.0,0.2,0.0,2.8617600000000002e-05,1.9073486328125e-06,180,-0.3018480326831341,-6.072956894058734e-06
-1415861.251255889,512000,20,974,525,13902.5,2.4032082e-07,4281057.728,2115524.0,0.2,0.0,2.85408e-05,1.1324882507324219e-06,190,-0.30868095453083516,-4.651778959669173e-06
-1416256.5247727367,537600,21,1186,453,13904.263157894737,4.058471e-08,4633105.46325,2444336.25,0.2,0.0,2.8464e-05,1.1324882507324219e-06,200,-0.31808804981410504,-1.364111667498946e-06
-1410774.7371820998,563200,22,1208,465,13899.95,6.5600034e-08,5207708.957,2427148.0,0.2,0.0,2.8387199999999998e-05,6.556510925292969e-07,210,-0.29479294957220553,-2.0428219577297567e-06
-1411300.186407214,588800,23,1230,478,13893.119047619048,4.4207553e-08,4262817.028,2071099.125,0.2,0.0,2.83104e-05,5.960464477539062e-07,220,-0.2995387203991413,-7.783723995089531e-07
-1411635.569198636,614400,24,1260,487,13895.954545454546,4.1911843e-08,5805768.3345,2828372.5,0.2,0.0,2.82336e-05,5.364418029785156e-07,230,-0.30002832467854024,-1.1992574436590075e-06
-1424689.3581844564,640000,25,1283,498,13907.41304347826,3.5588165e-08,5722020.863,3143040.5,0.2,0.0,2.8156799999999998e-05,3.5762786865234375e-07,240,-0.29151086758077144,-1.118673593737185e-06
