#{"t_start": 1733223098.3764524, "env_id": "None"}
r,l,t
-1445484.777273,6000,122.752518
-1122372.063636,6000,126.621225
-1381875.284848,6000,130.487713
-1304083.613636,6000,134.359859
-1273872.307576,6000,138.24189
-1135987.480303,6000,142.110148
-1351403.409091,6000,145.957272
-1430914.618182,6000,149.800144
-1409479.472727,6000,153.64815
-1377135.618182,6000,157.502256
-1409683.109091,6000,161.353902
-1759634.431818,6000,165.208067
-1350142.086364,6000,169.06373
-1371853.031818,6000,172.917676
-1124130.975758,6000,176.764279
-1255155.180303,6000,180.622736
-1364142.966667,6000,184.464314
-1363764.133333,6000,188.309295
-1191050.654545,6000,192.165009
-1350876.427273,6000,196.013422
-960063.25,6000,456.887088
-1121703.322727,6000,460.757303
-1388618.831818,6000,464.636509
-1408990.622727,6000,468.519054
-1372581.795455,6000,472.401521
-1316003.463636,6000,476.278296
-1013910.327273,6000,480.150869
-1217568.777273,6000,484.029982
-1276496.068182,6000,487.903002
-1431370.654545,6000,491.774921
-1370866.104545,6000,495.653229
-1413933.027273,6000,499.531833
-1098563.569697,6000,503.411866
-1035620.777273,6000,507.280159
-1435032.522727,6000,511.152888
-1209523.772727,6000,515.021223
-1506969.036364,6000,518.88588
-1055171.972727,6000,522.752229
-1402188.377273,6000,526.619453
-1078059.472727,6000,530.481334
-1461981.515152,6000,777.714429
-1396364.639394,6000,781.588971
-1256026.509091,6000,785.460511
-1220614.972727,6000,789.335292
-1291635.363636,6000,793.210517
-1009462.924242,6000,797.090184
-1113169.972727,6000,800.976978
-1254213.109091,6000,804.855089
-1310327.740909,6000,808.736225
-1541962.363636,6000,812.62154
-1476787.427273,6000,816.504333
-1109513.481818,6000,820.385745
-1275619.25303,6000,824.263302
-1263346.840909,6000,828.137999
-1114208.481818,6000,832.010576
-1660033.690909,6000,835.885934
-1110736.421212,6000,839.759519
-1375137.645455,6000,843.629914
-1392799.142424,6000,847.504934
-1347631.913636,6000,851.379601
-1366737.530303,6000,1145.07138
-1489730.768182,6000,1148.946015
-1222092.259091,6000,1152.823268
-1258628.868182,6000,1156.702037
-1312146.122727,6000,1160.581135
-1175306.331818,6000,1164.462095
-1161630.818182,6000,1168.339768
-1207530.213636,6000,1172.21737
-1576513.986364,6000,1176.0952
-1253291.218182,6000,1179.971244
-1055149.190909,6000,1183.851379
-1056848.706061,6000,1187.73088
-990916.659091,6000,1191.606036
-1302202.715152,6000,1195.475598
-1108291.931818,6000,1199.345389
-974655.509091,6000,1203.21539
-956153.327273,6000,1207.078314
-1562675.854545,6000,1210.945234
-1227434.672727,6000,1214.808058
-1151153.184848,6000,1218.667661
-1288601.078788,6000,1424.998298
-1210733.959091,6000,1428.873065
-1162277.518182,6000,1432.749236
-1079480.890909,6000,1436.630962
-1101473.731818,6000,1440.511894
-865079.934848,6000,1444.39201
-931924.95,6000,1448.277023
-1025429.798485,6000,1452.161432
-1256798.309091,6000,1456.043578
-1277729.054545,6000,1459.926106
-1294694.227273,6000,1463.807623
-1084847.29697,6000,1467.688972
-1200375.95,6000,1471.56742
-1590809.098485,6000,1475.452472
-1290429.181818,6000,1479.336932
-965011.571212,6000,1483.21856
-1549848.086364,6000,1487.103054
-961750.784848,6000,1490.979727
-1394561.028788,6000,1494.853574
-1208172.240909,6000,1498.728658
-898157.754545,6000,1619.555781
-1310981.472727,6000,1623.438977
-961164.942424,6000,1627.316643
-1468734.281818,6000,1631.205381
-1282654.55,6000,1635.084162
-1009669.622727,6000,1638.959873
-930657.595455,6000,1642.837382
-1031129.863636,6000,1646.71877
-975512.068182,6000,1650.603574
-1110906.440909,6000,1654.484876
-1155051.998485,6000,1658.359685
-1026987.434848,6000,1662.244595
-1242543.316667,6000,1666.131876
-984751.645455,6000,1670.02098
-1063953.107576,6000,1673.912178
-1139327.1,6000,1677.802713
-1076015.395455,6000,1681.694741
-906921.863636,6000,1685.585883
-1157715.627273,6000,1689.477658
-1064533.918182,6000,1693.368497
-915369.440909,6000,1894.193576
-1184446.510606,6000,1898.068935
-1306479.013636,6000,1901.941144
-771055.077273,6000,1905.818537
-1131519.368182,6000,1909.698259
-1053339.880303,6000,1913.581663
-1369852.710606,6000,1917.463096
-1151976.936364,6000,1921.348368
-1174075.724242,6000,1925.232633
-1134554.042424,6000,1929.122916
-885958.327273,6000,1933.023969
-1155307.934848,6000,1936.917777
-1174693.790909,6000,1940.800187
-967274.740909,6000,1944.68016
-1220685.827273,6000,1948.556301
-1178985.895455,6000,1952.433202
-1220612.331818,6000,1956.304823
-867859.1,6000,1960.177282
-1174553.65,6000,1964.056799
-946032.713636,6000,1967.927818
-902625.036364,6000,2111.966234
-1051176.780303,6000,2115.841426
-891492.313636,6000,2119.720003
-1173116.031818,6000,2123.59955
-1283999.256061,6000,2127.483183
-1091977.713636,6000,2131.36748
-1093303.733333,6000,2135.242222
-882969.736364,6000,2139.124287
-1032717.995455,6000,2143.006631
-1134077.431818,6000,2146.878669
-846283.831818,6000,2150.766396
-1160610.981818,6000,2154.646891
-1168881.845455,6000,2158.527301
-1238331.459091,6000,2162.403406
-971779.613636,6000,2166.274487
-964261.168182,6000,2170.141713
-678388.872727,6000,2174.011403
-753117.506061,6000,2177.881441
-1223182.436364,6000,2181.745661
-1042673.430303,6000,2185.610842
-962474.268182,6000,2306.50475
-1044785.84697,6000,2310.375063
-851360.527273,6000,2314.242542
-893575.574242,6000,2318.116722
-1336802.663636,6000,2321.990881
-1210990.804545,6000,2325.865899
-891963.572727,6000,2329.736502
-1051441.75,6000,2333.610165
-1098503.809091,6000,2337.481322
-1106875.318182,6000,2341.3541
-1040441.074242,6000,2345.218446
-1111357.110606,6000,2349.073767
-965066.25,6000,2352.944073
-1036258.418182,6000,2356.81382
-697091.060606,6000,2360.668749
-915544.540909,6000,2364.530955
-1067383.263636,6000,2368.395119
-1077423.951515,6000,2372.258808
-653254.55,6000,2376.115385
-708760.631818,6000,2379.97618
-609110.259091,6000,2500.964335
-920547.166667,6000,2504.828944
-1112640.940909,6000,2508.690035
-1009084.540909,6000,2512.54931
-1285295.340909,6000,2516.406723
-1255349.35,6000,2520.275925
-1182817.912121,6000,2524.134903
-1018175.413636,6000,2527.985013
-934932.759091,6000,2531.850434
-789177.722727,6000,2535.715548
-1262660.166667,6000,2539.583818
-897094.222727,6000,2543.44501
-726736.636364,6000,2547.298149
-690002.390909,6000,2551.146117
-875384.668182,6000,2555.000469
-1031860.622727,6000,2558.855141
-1314831.319697,6000,2562.727515
-1033086.072727,6000,2566.59778
-961951.281818,6000,2570.462999
-795608.295455,6000,2574.329085
-1010834.177273,6000,2695.222071
-1200337.295455,6000,2699.115128
-1231935.698485,6000,2702.989455
-905712.240909,6000,2706.866617
-705860.527273,6000,2710.741028
-1016612.386364,6000,2714.617928
-887245.937879,6000,2718.490061
-1026195.928788,6000,2722.3709
-1075075.090909,6000,2726.255491
-792774.136364,6000,2730.140155
-969668.351515,6000,2734.022131
-1084809.1,6000,2737.896705
-748145.327273,6000,2741.771734
-873091.654545,6000,2745.657148
-1169940.745455,6000,2749.532568
-965040.44697,6000,2753.403475
-790785.240909,6000,2757.269253
-883450.590909,6000,2761.120097
-859231.636364,6000,2764.985076
-838957.086364,6000,2768.852548
-564065.845455,6000,2889.320143
-885157.948485,6000,2893.189358
-887642.272727,6000,2897.054651
-711652.422727,6000,2900.922929
-796946.792424,6000,2904.799203
-998321.25,6000,2908.669706
-915689.05,6000,2912.530865
-513391.25,6000,2916.384792
-803627.718182,6000,2920.25582
-858728.336364,6000,2924.132726
-731031.7,6000,2928.012959
-709791.940909,6000,2931.892655
-925987.031818,6000,2935.771912
-1074206.704545,6000,2939.644839
-984539.254545,6000,2943.512656
-772548.622727,6000,2947.386111
-1029012.2,6000,2951.260307
-785840.10303,6000,2955.128301
-668222.868182,6000,2958.998147
-769642.395455,6000,2962.868496
-897963.915152,6000,3083.363223
-687465.239394,6000,3087.233768
-1103531.895455,6000,3091.099176
-595407.754545,6000,3094.967725
-816887.931818,6000,3098.839756
-912991.0,6000,3102.714414
-948311.695455,6000,3106.593158
-872243.642424,6000,3110.46577
-874125.643939,6000,3114.330988
-602871.384848,6000,3118.189426
-943311.459091,6000,3122.047842
-701376.79697,6000,3125.910289
-887146.254545,6000,3129.763783
-608754.759091,6000,3133.621894
-567629.945455,6000,3137.481534
-599829.904545,6000,3141.340409
-1004079.513636,6000,3145.207872
-802230.781818,6000,3149.073251
-786730.481818,6000,3152.930176
-644903.95,6000,3156.785047
-942138.804545,6000,3277.028429
-637636.645455,6000,3280.885955
-670712.172727,6000,3284.737245
-964622.913636,6000,3288.584648
-581984.068182,6000,3292.440772
-644222.325758,6000,3296.294518
-863777.759091,6000,3300.143484
-799761.127273,6000,3304.009365
-980074.8,6000,3307.874273
-933234.733333,6000,3311.736859
-794806.254545,6000,3315.604748
-704589.859091,6000,3319.472975
-860042.356061,6000,3323.340745
-635054.163636,6000,3327.201602
-780685.922727,6000,3331.071426
-635525.263636,6000,3334.942192
-854065.384848,6000,3338.821368
-1001021.313636,6000,3342.68991
-698694.840909,6000,3346.55884
-729771.868182,6000,3350.42202
-771904.804545,6000,3470.799606
-514402.365152,6000,3474.653291
-731424.2,6000,3478.505891
-559140.754545,6000,3482.369881
-578503.422727,6000,3486.232305
-805093.39697,6000,3490.104879
-655109.590909,6000,3493.982587
-927271.1,6000,3497.86014
-601578.509091,6000,3501.735015
-611281.55,6000,3505.609057
-676078.681818,6000,3509.485308
-482332.086364,6000,3513.363244
-793319.916667,6000,3517.236672
-784278.122727,6000,3521.104757
-853012.863636,6000,3524.963772
-718597.977273,6000,3528.825368
-367035.15,6000,3532.691744
-972403.618182,6000,3536.568593
-717442.95,6000,3540.444619
-641012.577273,6000,3544.3197
-453355.418182,6000,3667.270241
-676989.777273,6000,3671.144059
-365062.945455,6000,3675.024498
-402744.630303,6000,3678.896752
-615428.013636,6000,3682.777455
-541089.668182,6000,3686.660864
-564299.986364,6000,3690.546641
-545928.386364,6000,3694.43316
-491670.513636,6000,3698.319035
-470201.766667,6000,3702.199697
-630105.75,6000,3706.0764
-695833.35,6000,3709.952505
-456962.033333,6000,3713.827429
-598710.184848,6000,3717.692878
-863908.686364,6000,3721.554506
-765004.586364,6000,3725.417542
-392983.3,6000,3729.270873
-767300.359091,6000,3733.142475
-649645.487879,6000,3737.009691
-634639.098485,6000,3740.865896
-747374.604545,6000,3868.728514
-537197.115152,6000,3872.606344
-371279.015152,6000,3876.48471
-513524.55,6000,3880.356524
-772981.939394,6000,3884.23784
-543010.469697,6000,3888.113318
-550308.965152,6000,3891.991314
-533116.690909,6000,3895.87251
-380677.815152,6000,3899.753919
-759303.754545,6000,3903.640485
-432923.563636,6000,3907.521733
-789287.681818,6000,3911.395644
-550699.709091,6000,3915.272405
-476765.286364,6000,3919.160717
-475073.451515,6000,3923.052062
-559090.766667,6000,3926.940413
-388898.395455,6000,3930.832764
-541628.668182,6000,3934.716312
-593773.5,6000,3938.600753
-533837.886364,6000,3942.486167
-343976.684848,6000,4062.988722
-549163.795455,6000,4066.858592
-673496.490909,6000,4070.728028
-258868.740909,6000,4074.611018
-376141.240909,6000,4078.47393
-703929.537879,6000,4082.341179
-427097.636364,6000,4086.221799
-489819.671212,6000,4090.089482
-566757.054545,6000,4093.964931
-805041.509091,6000,4097.847165
-268495.118182,6000,4101.727777
-509591.418182,6000,4105.601453
-477720.759091,6000,4109.474294
-596994.313636,6000,4113.350157
-550347.563636,6000,4117.222568
-567733.543939,6000,4121.085455
-550777.618182,6000,4124.940822
-675921.113636,6000,4128.807622
-734675.386364,6000,4132.676802
-548455.975758,6000,4136.541225
-478072.2,6000,4257.235176
-457089.304545,6000,4261.102521
-329758.113636,6000,4264.983162
-465115.601515,6000,4268.856551
-537753.831818,6000,4272.736571
-404762.209091,6000,4276.607543
-350655.009091,6000,4280.47834
-278886.363636,6000,4284.345661
-416304.151515,6000,4288.210029
-330710.304545,6000,4292.080585
-320385.354545,6000,4295.960752
-306198.268182,6000,4299.838135
-427821.49697,6000,4303.71637
-369103.077273,6000,4307.593908
-372082.5,6000,4311.469716
-492203.181818,6000,4315.341886
-468028.304545,6000,4319.209776
-307324.468182,6000,4323.084697
-496644.204545,6000,4326.95071
-509873.316667,6000,4330.818946
-245749.65,6000,4451.499899
-196275.909091,6000,4455.388833
-425028.327273,6000,4459.27242
-355525.827273,6000,4463.160455
-332216.068182,6000,4467.044466
-247201.209091,6000,4470.929454
-539208.6,6000,4474.82001
-371221.640909,6000,4478.706076
-228872.218182,6000,4482.59512
-376608.742424,6000,4486.483548
-338762.977273,6000,4490.3792
-340279.236364,6000,4494.26442
-455755.3,6000,4498.151475
-204608.245455,6000,4502.040478
-170285.781818,6000,4505.923899
-294407.837879,6000,4509.809336
-384130.004545,6000,4513.688824
-196812.640909,6000,4517.5765
-373831.931818,6000,4521.466515
