time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/clip_range,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/entropy_loss
1254,-1283128.489394,6000.0,25600,20,1,,,,,,,,,,
1169,-1366289.2090907497,6000.0,51200,43,2,0.2,1.8656253814697266e-05,10,2.9923200000000002e-05,9.90289e-06,24520760.668,-9.182244626572356e-05,0.0,11736906.0,-0.6946240583658219
1140,-1384767.1079544167,6000.0,76800,67,3,0.2,0.0001506805419921875,20,2.98464e-05,1.4902861e-06,31913775.128,-2.4016477051191032e-05,0.0,16468283.0,-0.6947259652614594
1129,-1407270.230837706,6000.0,102400,90,4,0.2,0.00016570091247558594,30,2.97696e-05,1.8416462e-06,36334274.976,-3.49237349582836e-05,0.0,20879384.0,-0.6889246335029602
1122,-1418627.038528048,6000.0,128000,114,5,0.2,0.00012564659118652344,40,2.96928e-05,7.6381025e-07,33924132.424,-1.5456381137482824e-05,0.0,18088912.0,-0.6781212267279625
709,-1399486.71993932,6000.0,153600,216,6,0.2,6.765127182006836e-05,50,2.9616e-05,1.1027721e-06,33001910.57,-2.205777581548318e-05,0.0,15749811.0,-0.6983927003145218
747,-1403882.8364680689,6000.0,179200,239,7,0.2,5.245208740234375e-05,60,2.95392e-05,7.4925134e-07,27079106.116,-1.3904943538364023e-05,0.0,13999795.0,-0.698707959830761
777,-1382414.0022281175,6000.0,204800,263,8,0.2,3.2007694244384766e-05,70,2.94624e-05,6.5392584e-07,32572288.974,-1.3914135401137174e-05,0.0,16737605.0,-0.6894883500933647
803,-1382391.3826156051,6000.0,230400,286,9,0.2,2.1159648895263672e-05,80,2.93856e-05,7.414096e-07,26449895.5,-1.3996954774484039e-05,0.0,12527287.0,-0.6886242552995682
824,-1395646.5573232141,6000.0,256000,310,10,0.2,1.0848045349121094e-05,90,2.9308800000000003e-05,1.3956031e-06,29428754.238,-2.6589658809825777e-05,0.0,16975776.0,-0.6920905177593231
511,-1403620.1566205216,6000.0,281600,550,11,0.2,6.377696990966797e-06,100,2.9232e-05,1.025768e-06,34983513.168,-2.3181631113402546e-05,0.0,15286623.0,-0.6838049537539482
