#{"t_start": 1733223098.376139, "env_id": "None"}
r,l,t
-6757581.050116,26106,126.591172
-7225333.422218,26114,141.119439
-7047351.40904,25981,155.561539
-7151953.990997,26111,170.0765-6516278.272139,25556,406.51347
-6921962.786986,25821,428.038079
-6252981.973187,25782,449.500489
-6555832.205873,25143,470.607661
-7522946.895517,26151,492.354944
-6538003.24135,25645,802.686759
-6395175.455652,25626,824.020585
-6640199.212043,25972,845.516976
-6486457.669731,25685,866.887305
-6674396.807372,25994,888.43143
-6905336.961084,25875,1198.854916
-7042585.283278,26085,1220.4768
-6420595.015728,25550,1241.767738
-7236900.521183,26157,1263.501548
-6765243.125864,25778,1285.001981
-6454066.118413,26093,1595.050817
-7267229.501432,26206,1616.794268
-5996529.401948,25259,1637.888313
-6295179.338086,25637,1659.225469
-7450580.879781,25870,1680.746806
-6700202.494112,25296,1989.443805
-6177445.109329,25966,2011.017609
-6704919.518992,25613,2032.281758
-6959551.349357,25984,2053.839793
-6443458.991797,25288,2074.939196
-7693211.719713,26073,2385.69069
-5776615.903478,25613,2407.017159
-6600438.520172,25500,2428.314871
-7349635.478494,26522,2450.291433
-5940721.072114,25425,2471.493667
-6516438.935569,25152,2781.952712
-7533040.29998,26788,2804.090978
-6566182.805432,25975,2825.67916
-6494754.71675,25968,2847.284578
-6624632.562313,25858,2868.794294
-6315841.45691,25581,3178.552879
-6735521.727279,25962,3200.068292
-6633852.505504,26436,3221.89819
-6670945.7168,26095,3243.512789
-6746393.397423,25967,3265.024626
-7453159.177122,26249,3575.128004
-5817042.630444,25432,3596.303716
-6073530.607761,25546,3617.617896
-6197814.960997,25516,3638.92577
-6019197.308508,25396,3660.140082
-5708251.108605,25419,3970.428296
-6744416.669394,26115,3992.151713
-6553775.647158,25996,4013.782217
-7138694.748706,26159,4035.490503
-6671935.416893,25978,4057.06321
-6472480.285287,25865,4367.802865
-7700548.460364,26777,4397.223791
-6752916.466314,25549,4418.528145
-6111051.364152,25563,4439.897578
-6444716.575614,25869,4461.451407
-6690168.87916,25506,4770.665979
-6617120.127348,25457,4791.888625
-6039442.904883,26024,4813.524025
-5993713.616668,25648,4834.933353
-6739078.702066,25968,4856.59176
-6774941.051112,26110,5166.279385
-7723439.158001,26209,5187.998507
-6733539.320916,25848,5209.521742
-7503543.36257,26290,5231.304434
-7298996.102066,26019,5252.92566
-6458005.545649,26195,5561.984956
-6434106.776841,25939,5583.584919
-6795502.296015,25959,5605.186725
-6803336.057841,25832,5626.838127
-7073058.559997,26204,5648.609195
1514.677909
-7312526.234257,25938,1529.114293
-6980880.171315,26114,1543.629171
-6942009.975714,25650,1557.872269
-6595072.161178,25980,1572.34294
-7425880.129898,25977,1586.77264
-6356280.208581,25274,1707.483477
-6307197.363519,25754,1721.85915
-7328001.362615,26241,1736.50586
-5973352.115489,25323,1750.6702
-6647020.560442,26100,1765.297303
-6387284.576474,25498,1779.580793
-6584009.765838,25719,1793.956813
-6777424.486885,25513,1808.217475
-6386391.742066,26101,1822.759533
-6670364.188665,25811,1837.123986
-7013396.311946,26053,1851.643003
-6663622.336932,25781,1865.981394
-6569005.605125,25949,1880.427688
-7108955.313063,26012,1894.967402
-6001153.569378,25656,1909.261688
-6394291.305755,25481,1923.4728
-6365205.54648,25609,1937.759169
-6976682.212904,26476,1952.517937
-7322583.564602,25537,1966.751512
-6638371.122738,25425,1980.954903
-6848406.993412,26177,2102.003853
-6805058.26293,26160,2116.571783
-6636853.671667,25123,2130.582021
-6924539.080209,25748,2144.958892
-6933401.288402,25849,2159.331115
-6104359.281341,25570,2173.589753
-6621436.66272,26023,2188.08334
-8010061.382136,26528,2202.879349
-6888418.534007,26274,2217.519586
-6029643.437674,25601,2231.777848
