time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_fraction,rollout/ep_len_mean,train/entropy_loss,train/n_updates,train/learning_rate,train/value_loss,rollout/ep_rew_mean,train/loss,train/clip_range,train/explained_variance,train/approx_kl
1411,18,1,25600,,,,,,,,,,,,
1140,44,2,51200,-2.3219920112751424e-06,0.0,25929.0,-0.39114326253533366,10,2.9923200000000002e-05,36378289.5,-6729528.079464,17488466.0,0.2,1.2516975402832031e-06,5.7586004e-08
1156,66,3,76800,-2.583752851933241e-06,0.0,25900.0,-0.38768879169225695,20,2.98464e-05,41846245.448,-6939981.6416555,21732246.0,0.2,0.00011527538299560547,3.9061998e-08
1167,87,4,102400,-1.7005754343699663e-06,0.0,25958.666666666668,-0.38596271228790285,30,2.97696e-05,37592142.23,-6884244.8476869995,18807588.0,0.2,0.0001545548439025879,2.642395e-08
1173,109,5,128000,-1.343880081549287e-06,0.0,25879.25,-0.39069613939523695,40,2.96928e-05,35733858.586,-6814970.79577575,17618672.0,0.2,0.0001061558723449707,1.34832225e-08
366,418,6,153600,-1.2354630744084716e-06,0.0,25814.6,-0.3919929670393467,50,2.9616e-05,34533132.258,-6755232.2910484,16133840.0,0.2,5.429983139038086e-05,1.3676472e-08
406,440,7,179200,-1.7886944115161896e-06,0.0,25815.666666666668,-0.3875037113428116,60,2.95392e-05,39889887.74,-6783020.707038,20667886.0,0.2,3.719329833984375e-05,2.6200432e-08
443,461,8,204800,-4.2043894063681365e-07,0.0,25810.85714285714,-0.3823283309340477,70,2.94624e-05,31475445.982,-6707300.887916429,15093718.0,0.2,3.212690353393555e-05,3.3527612e-09
476,483,9,230400,-3.1348271295428274e-07,0.0,25727.375,-0.39246336635947227,80,2.93856e-05,35070410.956,-6688367.302661,19130028.0,0.2,1.8358230590820312e-05,3.4924597e-10
507,504,10,256000,-1.5549638774245978e-06,0.0,25774.444444444445,-0.3880921693742275,90,2.9308800000000003e-05,44080559.552,-6781098.368533889,21249012.0,0.2,8.761882781982422e-06,1.6121193e-08
