#{"t_start": 1733223098.3754249, "env_id": "None"}
r,l,t
-6776461.304399,9000,114.401592
-6466570.975619,9000,119.60487
-7278977.848182,9000,124.798342
-7699093.006524,9000,129.994697
-6381094.531331,9000,135.18533
-6440138.814659,9000,140.379031
-6592815.143391,9000,145.576874
-7161690.296733,9000,150.774779
-6375740.526885,9000,155.979513
-5508955.03299,9000,161.171453
-5967671.838932,9000,166.362833
-7033721.330571,9000,171.568809
-6351648.502473,9000,176.777679
-6497679.54176,9000,18-6443815.265271,9000,223.395233
-7021096.171972,9000,229.918485
-6208985.27574,9000,236.428579
-6209959.45695,9000,246.1987
-6456477.464212,9000,252.736191
-6801690.886362,9000,262.452006
-6649468.024-6597599.064437,9000,327.582723
-6382322.28667,9000,332.775148
-7114362.321223,9000,337.978308
-7166687.799991,9000,343.171063
-6428009.934399,9000,348.358182
-6663181.88954,9000,353.541502
-6386827.401509,9000,358.731922
-6475569.495678,9000,-6959979.467698,9000,435.285707
-6286177.052333,9000,441.786422
-6250457.700523,9000,448.27872
-7221061.635635,9000,458.043403
-6463574.519239,9000,464.570441
-6422996.620908,9000,471.099228
-6602222.722075,9000,480.857675
-6333816.066378,9000,487.379532
-6755042.001781,9000,497.64744
-6420697.604069,9000,504.186617
-6163626.841788,9000,510.721045
-5874125.297171,9000,520.655653
-6025151-6613539.584501,9000,541.434574
-6637659.725265,9000,546-6594550.495337,9000,647.638422
-6304010.351598,9000,654.146439
-6307425.877672,9000,660.64172
-6338736.081934,9000,670.589336
-6499879.942228,9000,677.06936
-6787895.789024,9000,683.561818
-6600767.371586,9000,693.332096
-6105965.872769,9000,699.829556
-6489619.865582,9000,706.338876
-5938405.966844,9000,716.190646
-6401860.935264,9000,722.721792
-6718335.401736,9000,729.230463
-6044640.144355,9000,739.186119
-6358973.19559,9000,745.699191
-7000379.878421,9000,859.290068
-5922178.390488,9000,865.798506
-6910610.719601,9000,872.281204
-6458356.078118,9000,882.583102
-7151482.259967,9000,889.093872
-6510145.778899,9000,895.601859
-5638329.142498,9000,905.966505
-6398916.38072,9000,912.481616
-6633042.235424,9000,918.980898
-6222881.215333,9000,929.524848
-7143795.706111,9000,936.026528
-6907110.392968,9000,942.539596
-5873723.816395,9000,952.267606
-6034175.707127,9000,958.78348
-6417051.404513,9000,965.30807
-6432855.837784,9000,1080.859229
-6501110.699939,9000,1087.364931
-6235368.78178,9000,1097.357514
-6821458.282935,9000,1103.85831
-6062126.858615,9000,1110.354869
-6292873.993423,9000,1120.060145
-6422744.669388,9000,1126.563172
-6770669.416621,9000,1133.067477
-5836434.561534,9000,1142.760716
-6569341.722313,9000,1149.286998
-5629775.996193,9000,1155.782419
-6317858.14852,9000,1165.822394
-5960542.932936,9000,1172.338163
-6640752.756896,9000,1178.840186
-5465307.430423,9000,1292.430189
-6556219.41296,9000,1298.931478
-5960817.457867,9000,1305.425848
-6634222.399168,9000,1315.717305
-5820810.601098,9000,1322.195768
-6106874.519576,9000,1328.683878
-6199984.075635,9000,1338.36274
-5895025.112978,9000,1344.858588
-6964990.304942,9000,1354.545444
-6419389.467201,9000,1361.043839
-5782359.881432,9000,1367.54196
-6290259.499583,9000,1377.372554
-6481725.666584,9000,1383.861156
-5515360.860206,9000,1390.33727
-6099301.610872,9000,1504.024201
-6105842.672226,9000,1510.501289
-6267379.952464,9000,1516.989954
-6224406.028308,9000,1526.821449
-5901086.628966,9000,1533.34062
-7007693.830705,9000,1539.858652
-5795542.864076,9000,1549.546596
-6180573.387623,9000,1556.031379
-6322788.314846,9000,1562.519406
-5681562.869353,9000,1572.226749
-5430949.310237,9000,1578.750393
-5526480.455545,9000,1588.513839
-6201061.363884,9000,1595.011778
-6550815.112236,9000,1601.503115
-6703935.793637,9000,1715.342882
-6294770.12507,9000,1721.841027
-5971869.737,9000,1728.305267
-6086571.313788,9000,1738.778117
-5926457.956317,9000,1745.303685
-6946274.084253,9000,1751.827054
-6466291.054514,9000,1761.534199
-6099705.859458,9000,1768.041144
-6264629.320897,9000,1774.563778
-5940599.835552,9000,1784.398584
-5903885.686304,9000,1790.913813
