rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/clip_fraction,train/loss,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/value_loss
9000.0,1,1381,25600,18,-6538874.4952920005,,,,,,,,,,
9000.0,2,1253,51200,40,-6779398.863563001,4.5862515e-07,0.2,-1.103746362566948,2.9923200000000002e-05,0.0,145942608.0,10,-1.8132796511054038e-05,-2.9802322387695312e-06,295857447.296
9000.0,3,1223,76800,62,-6824820.0440125,1.8825521e-07,0.2,-1.1152246437072755,2.98464e-05,0.0,161362128.0,20,-1.1993688065558672e-05,3.719329833984375e-05,348505593.12
9000.0,4,1212,102400,84,-6967758.916483727,1.6045989e-07,0.2,-1.1125818642377854,2.97696e-05,0.0,171885472.0,30,-1.172001997474581e-05,3.88026237487793e-05,358340413.936
9000.0,5,1204,128000,106,-6891750.964617714,8.318806e-08,0.2,-1.1189553450345993,2.96928e-05,0.0,186343072.0,40,-6.609777337871492e-06,2.0802021026611328e-05,397075812.16
9000.0,6,662,153600,231,-6832847.659860647,1.4660414e-07,0.2,-1.1094103105068207,2.9616e-05,0.0,184920064.0,50,-1.0634844569722191e-05,1.7583370208740234e-05,341285046.08
9000.0,7,706,179200,253,-6780255.1125680525,1.3424317e-07,0.2,-1.1154898077249527,2.95392e-05,0.0,161769376.0,60,-9.668928163591772e-06,1.1265277862548828e-05,342392785.376
9000.0,8,743,204800,275,-6737249.220630589,1.00643376e-07,0.2,-1.1072978353500367,2.94624e-05,0.0,155258432.0,70,-7.4570883880369365e-06,7.212162017822266e-06,317919845.328
9000.0,9,775,230400,297,-6748819.08100072,2.0191771e-07,0.2,-1.1038308926820755,2.93856e-05,0.0,128296944.0,80,-1.233049633447081e-05,5.841255187988281e-06,275764041.616
9000.0,10,802,256000,319,-6759429.676317999,5.6454446e-08,0.2,-1.117583711385727,2.9308800000000003e-05,0.0,186497056.0,90,-3.570380387827754e-06,2.6226043701171875e-06,328417992.224
9000.0,11,632,281600,445,-6734214.359917999,7.94488e-08,0.2,-1.1071176875829696,2.9232e-05,0.0,168392208.0,100,-5.894291563890874e-06,1.9073486328125e-06,345725624.16
9000.0,12,657,307200,467,-6731419.939212941,1.1275289e-07,0.2,-1.106642166018486,2.91552e-05,0.0,166072080.0,110,-8.457856893073767e-06,1.7285346984863281e-06,320136841.6
