time/time_elapsed,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/value_loss,train/entropy_loss,train/loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/learning_rate
18,1,1360,25600,22599.0,-5131017.569794,,,,,,,,,,
144,2,354,51200,22744.5,-5285178.712216,-9.298324584960938e-06,10,25012750.344,-0.1739101996794343,11841602.0,2.9965304e-09,0.0,-4.40164003521204e-08,0.2,2.9923200000000002e-05
166,3,461,76800,22893.0,-5382460.866153333,6.55055046081543e-05,20,28339333.648,-0.17054557879269122,14742364.0,8.072238e-09,0.0,-3.999082837253809e-07,0.2,2.98464e-05
423,4,241,102400,22999.25,-5520380.3374185,6.574392318725586e-05,30,31727339.646,-0.16783434517681597,14710031.0,8.9081e-09,0.0,-4.4345733476802705e-07,0.2,2.97696e-05
644,5,198,128000,22929.6,-5499851.3604942,4.851818084716797e-05,40,34518151.944,-0.1639363378509879,16171662.0,9.490177e-09,0.0,-5.220134044066071e-07,0.2,2.96928e-05
930,6,165,153600,23194.166666666668,-5665070.630663999,2.568960189819336e-05,50,41287375.928,-0.1576277083232999,21938200.0,5.098991e-09,0.0,-3.29461763612926e-07,0.2,2.9616e-05
1452,7,123,179200,23230.571428571428,-5684596.572973,2.1219253540039062e-05,60,34329868.694,-0.14620421402901412,16627814.0,9.522774e-10,0.0,-9.998155292123557e-08,0.2,2.95392e-05
1973,8,103,204800,23201.25,-5659036.1778351255,1.6987323760986328e-05,70,31873423.23,-0.14932459278404714,17588826.0,7.576309e-09,0.0,-5.087114404886961e-07,0.2,2.94624e-05
2494,9,92,230400,23190.666666666668,-5650646.551581334,7.092952728271484e-06,80,30710486.596,-0.15054661960154772,15478380.0,4.8056243e-09,0.0,-2.9367057140916584e-07,0.2,2.93856e-05
3015,10,84,256000,23119.636363636364,-5584990.643773819,5.185604095458984e-06,90,23691901.154,-0.14907503888756038,11172963.0,1.4605466e-08,0.0,-7.881041383370757e-07,0.2,2.9308800000000003e-05
3595,11,78,281600,23140.75,-5572868.517977084,4.708766937255859e-06,100,27700339.486,-0.1617524120658636,14433675.0,9.378418e-09,0.0,-4.35259600635618e-07,0.2,2.9232e-05
4116,12,74,307200,23036.76923076923,-5513290.622394078,2.6226043701171875e-06,110,26780021.66,-0.16695975817739964,14389809.0,9.429641e-09,0.0,-5.301325873006135e-07,0.2,2.91552e-05
4638,13,71,332800,22934.35714285714,-5450515.842575216,2.1457672119140625e-06,120,24274444.826,-0.18195612931996583,11530602.0,4.0535815e-09,0.0,-2.2805132903158664e-07,0.2,2.9078400000000003e-05
5159,14,69,358400,22950.333333333332,-5466743.7247615345,9.5367431640625e-07,130,31744576.078,-0.18148361238092184,16162321.0,1.0635704e-08,0.0,-6.883903406560421e-07,0.2,2.90016e-05
5680,15,67,384000,22910.0,-5437757.917289687,5.960464477539062e-07,140,31979125.312,-0.15038511400669813,16411964.0,1.0428485e-08,0.0,-9.057805291377008e-07,0.2,2.89248e-05
