#{"t_start": 1733223098.3761265, "env_id": "None"}
r,l,t
-5573227.201619,6000,118.957225
-5132596.062366,6000,122.72192
-5103270.256729,6000,126.484253
-5094614.272103,6000,130.248872
-4949089.282041,6000,134.005593
-5266801.518024,6000,137.768553
-5144027.762213,6000,141.526744
-5033690.433468,6000,145.286481
-5086796.424285,6000,149.034406
-4748530.413275,6000,152.785358
-5244244.091253,6000,156.538541
-5768993.543995,6000,160.284069
-5741392.304275,6000,164.041091
-4803368.931714,6000,167.798452
-4989624.948178,6000,171.564621
-5438704.787277,6000,175.327672
-5876723.901886,6000,179.088161
-4435989.262632,6000,182.845057
-5716695.889949,6000,186.606075
-5171524.137491,6000,190.360553
-5181354.761134,6000,311.423338
-5228982.240924,6000,315.175961
-5247421.92031,6000,318.945738
-5198662.392819,6000,322.718642
-5360868.2159,6000,326.482803
-5129842.236995,6000,330.236681
-5495079.099213,6000,333.996393
-5259669.138542,6000,337.777357
-5265952.321255,6000,341.549457
-5040024.113578,6000,345.328039
-5012769.849393,6000,349.091341
-5909093.466478,6000,352.840632
-4966670.101889,6000,356.619691
-4567495.239796,6000,360.3936
-5942141.211471,6000,364.164384
-4787475.028722,6000,367.924634
-5506411.709088,6000,371.677574
-5191659.100677,6000,375.439409
-5018836.65,6000,379.200917
-5283798.245074,6000,382.958317
-4512928.016555,6000,509.893293
-5023695.069522,6000,513.651348
-5808654.556646,6000,517.419926
-5734851.544872,6000,521.175519
-5469395.055864,6000,524.926625
-5852933.36845,6000,528.693235
-5379393.339593,6000,532.464562
-5975379.620995,6000,536.23224
-5121402.92598,6000,540.001791
-5237447.993916,6000,543.772974
-4928006.652108,6000,547.526006
-4724193.381367,6000,551.283676
-4818872.754201,6000,555.040566
-5587469.676252,6000,558.794617
-6099592.844888,6000,562.548929
-4989544.489588,6000,566.306349
-5321253.866664,6000,570.057324
-4773567.403901,6000,573.820613
-4755204.585632,6000,577.580219
-4514780.058197,6000,581.327951
-4466523.166147,6000,709.401541
-5744446.163891,6000,713.169503
-5493495.710189,6000,716.946827
-4561300.750598,6000,720.718733
-4917394.929015,6000,724.485747
-5174022.817476,6000,728.269289
-5037191.612593,6000,732.050929
-5246982.660681,6000,735.826226
-5550733.821323,6000,739.614937
-5484596.788211,6000,743.403921
-4961303.825169,6000,747.187681
-4651834.493927,6000,750.962916
-5630644.991633,6000,754.735627
-4799360.355601,6000,758.509749
-5046366.989879,6000,762.2855
-5147962.060121,6000,766.073909
-4876189.057085,6000,769.847731
-4815595.631511,6000,773.613615
-5059919.446006,6000,777.373351
-4772498.528812,6000,781.137018
-5314339.855971,6000,1069.089987
-5300203.667588,6000,1072.860754
-4639823.780651,6000,1076.630581
-4521039.826923,6000,1080.397983
-5012614.778003,6000,1084.17147
-4805303.043657,6000,1087.93795
-5399032.354006,6000,1091.710277
-5073087.218304,6000,1095.485118
-4716201.306757,6000,1099.251783
-5166376.248511,6000,1103.019549
-5479122.246221,6000,1106.787651
-4766128.539921,6000,1110.552427
-4842876.812726,6000,1114.312053
-5146127.819376,6000,1118.083237
-5124080.013833,6000,1121.848815
-4904186.66399,6000,1125.61889
-5295599.739921,6000,1129.379622
-4726253.521715,6000,1133.141619
-4652192.732064,6000,1136.901811
-4733814.987144,6000,1140.677153
-6150500.935965,6000,1285.359356
-5060675.214018,6000,1289.121232
-4916808.434581,6000,1292.889556
-6368027.738259,6000,1296.67173
-5431807.234556,6000,1300.443175
-5071039.088027,6000,1304.211928
-4563274.580155,6000,1307.977452
-4817988.501446,6000,1311.746416
-5209461.889206,6000,1315.529276
-4661362.354074,6000,1319.296141
-4708332.839935,6000,1323.062294
-4308449.497287,6000,1326.829602
-4553660.298733,6000,1330.596415
-5298570.79552,6000,1334.367818
-4986499.459494,6000,1338.125041
-5153530.065789,6000,1341.887
-5267012.400516,6000,1345.648748
-4958851.926856,6000,1349.404405
-5567171.562034,6000,1353.166908
-5168109.542173,6000,1356.929161
-5309179.329709,6000,1561.027606
-5345255.798381,6000,1564.805571
-5747713.780634,6000,1568.577847
-4284533.20624,6000,1572.355371
-4453648.536977,6000,1576.125797
-4341073.433536,6000,1579.898169
-4658718.537787,6000,1583.67197
-5003873.012107,6000,1587.434139
-4620532.076699,6000,1591.191656
-5042635.560087,6000,1594.95477
-5240150.509757,6000,1598.714725
-5798141.816464,6000,1602.475009
-4598189.874701,6000,1606.239027
-4461757.996896,6000,1610.006759
-5385886.191131,6000,1613.767799
-5136145.086475,6000,1617.532831
-4423847.411492,6000,1621.301258
-4827860.701133,6000,1625.070285
-4659135.287854,6000,1628.816855
