time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/approx_kl,train/loss,train/explained_variance,train/n_updates,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss
1281,19,25600,6000.0,1,-5493235.0627225,,,,,,,,,,
1193,42,51200,6000.0,2,-5481407.031689,6.5314117e-07,293081280.0,8.404254913330078e-06,10,2.9923200000000002e-05,0.0,745051253.088,0.2,-0.6096614952087402,-2.1234531013760717e-05
1160,66,76800,6000.0,3,-5486105.45057875,2.1102605e-07,263770704.0,2.2530555725097656e-05,20,2.98464e-05,0.0,747379956.896,0.2,-0.613399434030056,-1.0034645383711904e-05
1147,89,102400,6000.0,4,-5411529.983329529,1.15104484e-07,437153056.0,1.7702579498291016e-05,30,2.97696e-05,0.0,758256343.744,0.2,-0.6130500406622886,-5.662428622599691e-06
1140,112,128000,6000.0,5,-5359560.548905809,1.08384995e-07,396168192.0,9.894371032714844e-06,40,2.96928e-05,0.0,845688995.008,0.2,-0.6140302827358246,-6.848326069302857e-06
729,210,153600,6000.0,6,-5346102.53046548,3.8200525e-08,263038032.0,5.7220458984375e-06,50,2.9616e-05,0.0,648120642.592,0.2,-0.6049938461780549,-1.4664664631709457e-06
767,233,179200,6000.0,7,-5315962.581917931,1.2415927e-07,373447712.0,3.039836883544922e-06,60,2.95392e-05,0.0,686205566.72,0.2,-0.6116783307790756,-5.851828609593212e-06
795,257,204800,6000.0,8,-5306126.216642852,2.1105167e-07,201549376.0,1.4901161193847656e-06,70,2.94624e-05,0.0,710888537.504,0.2,-0.6053128232955932,-1.2400975450873375e-05
821,280,230400,6000.0,9,-5301240.995365158,1.10596886e-07,393198144.0,1.2516975402832031e-06,80,2.93856e-05,0.0,785807320.8,0.2,-0.610799768269062,-5.846013664267957e-06
840,304,256000,6000.0,10,-5300857.528595095,1.3834331e-07,388781408.0,7.152557373046875e-07,90,2.9308800000000003e-05,0.0,696072168.32,0.2,-0.6033512266874314,-7.070365129038692e-06
698,402,281600,6000.0,11,-5302809.548285522,1.9625527e-07,350430112.0,3.5762786865234375e-07,100,2.9232e-05,0.0,735378134.976,0.2,-0.6046604400873185,-1.1419746035244315e-05
720,426,307200,6000.0,12,-5290021.490580706,1.0704156e-07,433592448.0,2.384185791015625e-07,110,2.91552e-05,0.0,778049137.792,0.2,-0.6150260407924653,-7.653323613340035e-06
738,450,332800,6000.0,13,-5252188.501670872,6.98911e-08,451407552.0,5.960464477539063e-08,120,2.9078400000000003e-05,0.0,724128982.016,0.2,-0.6079361861348153,-3.3822961850091817e-06
753,475,358400,6000.0,14,-5231793.840628577,5.544629e-08,235804672.0,1.1920928955078125e-07,130,2.90016e-05,0.0,547473731.632,0.2,-0.6083369464278221,-2.0172870135866105e-06
765,501,384000,6000.0,15,-5243073.749346359,2.3431377e-07,334847296.0,5.960464477539063e-08,140,2.89248e-05,0.0,642665405.248,0.2,-0.6063110927343368,-1.2430903094355016e-05
681,601,409600,6000.0,16,-5241620.46116994,1.2687407e-07,381116864.0,1.1920928955078125e-07,150,2.8848000000000002e-05,0.0,895068217.6,0.2,-0.6099614371061325,-7.751010765787214e-06
695,625,435200,6000.0,17,-5249011.060228973,8.141622e-08,305659296.0,2.384185791015625e-07,160,2.87712e-05,0.0,667322606.112,0.2,-0.6097441385388375,-3.8696591509506105e-06
709,649,460800,6000.0,18,-5238293.086641106,5.9532468e-08,410548448.0,0.0,170,2.86944e-05,0.0,711398981.792,0.2,-0.606776173889637,-4.6105321380309765e-06
722,673,486400,6000.0,19,-5239074.457890086,2.5127083e-08,271904608.0,0.0,180,2.8617600000000002e-05,0.0,623644127.264,0.2,-0.6078543637394905,-1.1609042994678021e-06
728,702,512000,6000.0,20,-5237989.577072988,1.083198e-07,437445824.0,0.0,190,2.85408e-05,0.0,814672589.824,0.2,-0.6105319285392761,-6.896821432746947e-06
670,801,537600,6000.0,21,-5232670.323736652,9.521143e-08,321501888.0,5.960464477539063e-08,200,2.8464e-05,0.0,665798199.328,0.2,-0.6036685980558395,-5.645730649121106e-06
629,894,563200,6000.0,22,-5219060.486432483,1.4912337e-07,290044416.0,5.960464477539063e-08,210,2.8387199999999998e-05,0.0,659179800.512,0.2,-0.6041759315133095,-9.058693947736174e-06
579,1016,588800,6000.0,23,-5209508.409086939,1.2661097e-07,448828256.0,5.960464477539063e-08,220,2.83104e-05,0.0,671055987.2,0.2,-0.6057856266498566,-6.851795595139265e-06
591,1039,614400,6000.0,24,-5201923.394097779,3.0043068e-07,355949024.0,0.0,230,2.82336e-05,0.0,735914447.36,0.2,-0.6084470773339271,-1.8907563760876656e-05
602,1062,640000,6000.0,25,-5194839.2980021695,1.3278331e-07,244635552.0,0.0,240,2.8156799999999998e-05,0.0,637616567.264,0.2,-0.6052368264198303,-7.0988923544064165e-06
573,1160,665600,6000.0,26,-5179810.466934541,1.919223e-07,293808064.0,0.0,250,2.808e-05,0.0,711286878.56,0.2,-0.610525684595108,-1.3257195299956947e-05
583,1183,691200,6000.0,27,-5166637.33083122,6.487127e-08,326366208.0,0.0,260,2.8003200000000003e-05,0.0,746753578.272,0.2,-0.6128789486885071,-3.949942416511476e-06
593,1206,716800,6000.0,28,-5175488.835359041,8.5569916e-08,309975168.0,1.7881393432617188e-07,270,2.79264e-05,0.0,647770828.64,0.2,-0.6069478516578675,-4.347160982433707e-06
603,1229,742400,6000.0,29,-5175313.25180943,1.3992191e-07,368277568.0,0.0,280,2.7849600000000002e-05,0.0,770383999.936,0.2,-0.6023301264047622,-8.82187217939645e-06
612,1253,768000,6000.0,30,-5181083.1597135905,1.1467841e-07,357883648.0,0.0,290,2.7772800000000003e-05,0.0,678560106.176,0.2,-0.604943557024002,-6.402833911124617e-06
576,1377,793600,6000.0,31,-5158347.61704404,2.2098189e-07,401695520.0,0.0,300,2.7696e-05,0.0,832797367.136,0.2,-0.6101027821302414,-1.528200611937791e-05
551,1484,819200,6000.0,32,-5156450.98920339,1.3439683e-07,300801792.0,0.0,310,2.76192e-05,0.0,580178148.224,0.2,-0.5995249016284943,-5.918652983382344e-06
560,1507,844800,6000.0,33,-5147644.222254399,1.3782177e-07,340143360.0,0.0,320,2.7542400000000002e-05,0.0,645664598.016,0.2,-0.6020787094831467,-7.714124105405063e-06
568,1530,870400,6000.0,34,-5152617.91058257,1.9926112e-07,371065632.0,0.0,330,2.74656e-05,0.0,690739395.04,0.2,-0.5975917708277703,-1.072253007441759e-05
576,1554,896000,6000.0,35,-5151641.82090133,5.053356e-08,346240960.0,0.0,340,2.73888e-05,0.0,849699496.544,0.2,-0.6075324784517289,-3.346861689351499e-06
557,1652,921600,6000.0,36,-5139262.96940454,8.557923e-08,307087200.0,0.0,350,2.7312e-05,0.0,621022645.312,0.2,-0.6017767114639282,-4.409077810123563e-06
565,1675,947200,6000.0,37,-5149185.88309054,2.3768749e-07,267799296.0,0.0,360,2.72352e-05,0.0,586030482.88,0.2,-0.6058841521143913,-1.4025669486727565e-05
