#{"t_start": 1733223098.377796, "env_id": "None"}
r,l,t
-4837615.997192,28698,150.082733
-4163468.582152,27670,166.025516
-4425114.268367,28531,182.455698
-4721134.45654,28563,198.903797-4578207.873093,28141,480.642894
-4904777.367199,29523,505.55664
-4623274.029101,28096,529.295663
-4891964.736092,28987,553.714798
-4823275.029751,29126,911.651016
-4211501.626931,28424,935.444069
-4555969.272871,27706,958.630813
-4632257.108994,29001,982.875401
-4734689.144855,28553,1006.823203
-4618925.875378,28117,1359.391625
-4460186.270598,28025,1382.992368
-4500163.220719,28023,1406.478973
-4764528.88999,29106,1430.82979
-4629055.710044,28771,1792.073943
-4428618.520462,28153,1815.710826
-4898253.294034,28974,1839.931312
-4371560.853987,28693,1863.96064
-5018431.385128,29127,1888.345338
-4591953.519696,28620,2243.47243
-4845042.264515,29230,2267.922962
-5170804.038563,29029,2295.3843
-4484703.304712,28179,2319.052027
-4750506.186362,28459,2673.814581
-4819822.369895,28974,2698.042045
-4671950.636813,29231,2722.403932
-4432790.791552,28724,2747.505491
-4518742.1221,29099,2771.740072
-4627762.888931,28872,3127.595627
-4218902.433149,28477,3151.591882
-5187247.557261,29216,3179.303444
-5122710.691166,29432,3203.866644
-4299343.779547,28123,3559.38431
-4489949.632418,28693,3583.375738
-4666291.236178,28567,3607.257129
-4232503.35347,28177,3630.966319
-4575547.857641,28595,3655.097245
-4976907.337858,28664,4009.859657
-5170357.46418,28997,4037.580912
-4606963.176161,28969,4061.712573
-4780123.481843,29139,4085.999103
-5128169.083076,29387,4441.822995
-4746714.156777,29357,4466.343691
-4690384.476898,29250,4490.789077
-4253047.115131,27247,4513.935278
-5206085.089867,29036,4538.249034
-4502603.801648,28356,4897.945218
-4967016.703575,29100,4922.186699
-5304376.346005,29727,4946.917925
-4428598.41959,28349,4970.666025
-4850924.114805,29020,5326.302557
-4137809.148454,27895,5349.895895
-4488258.144003,28095,5373.458194
-4752127.991754,29419,5398.013991
08.550582
-4764205.935973,29277,1325.358854
-4462388.656189,28633,1341.788153
-4554632.899868,28307,1470.356906
-4719754.531647,28695,1486.925281
-4249953.925878,28646,1503.455372
-4530647.198816,28337,1519.809732
-5027793.031452,29108,1536.558054
