time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/entropy_loss,train/learning_rate,rollout/ep_len_mean,train/approx_kl,train/clip_fraction,train/value_loss,train/policy_gradient_loss,rollout/ep_rew_mean,train/n_updates,train/clip_range,train/explained_variance,train/loss
1,18,1360,25600,,,,,,,,,,,,
2,49,1036,51200,-0.3569747298061848,2.9923200000000002e-05,28541.0,1.6698614e-08,0.0,14505869.806,-8.920436375774443e-07,-4496487.441179,10,0.2,-3.981590270996094e-05,7457289.0
3,73,1051,76800,-0.3563802586495876,2.98464e-05,28521.0,1.6149832e-07,0.0,13856119.501,-7.679309346713126e-06,-4491723.366904,20,0.2,0.0002460479736328125,6683951.5
4,94,1078,102400,-0.35021714119613173,2.97696e-05,28718.0,1.1292286e-08,0.0,14226240.942,-1.1370483553037048e-06,-4641694.6919473335,30,0.2,0.0001819133758544922,7062233.0
5,122,1042,128000,-0.34872440102696417,2.96928e-05,28867.25,1.939712e-08,0.0,10461662.157,-1.3459211913868785e-06,-4648351.9613095,40,0.2,0.00019168853759765625,5293983.0
6,482,318,153600,-0.3243617858141661,2.9616e-05,28722.0,4.5981725e-08,0.0,11974135.081,-2.8242077096365392e-06,-4634323.1436662,50,0.2,0.00010150671005249023,6378013.0
7,505,354,179200,-0.3340377280265093,2.95392e-05,28855.5,6.581191e-08,0.0,13722030.582,-4.052314441651106e-06,-4679398.847588333,60,0.2,6.753206253051758e-05,7025332.5
8,526,388,204800,-0.33116657723486426,2.94624e-05,28747.0,8.665957e-09,0.0,15530413.396,-9.10126487724483e-07,-4671381.016375857,70,0.2,3.528594970703125e-05,7680475.5
9,548,419,230400,-0.33711866454780104,2.93856e-05,28777.0,3.6077108e-08,0.0,15021903.935,-2.4430081830359996e-06,-4698953.981340375,80,0.2,3.2842159271240234e-05,8003280.5
10,570,448,256000,-0.32766700817644595,2.9308800000000003e-05,28777.0,1.3434328e-08,0.0,17023625.234,-9.296636562794447e-07,-4698953.981340375,90,0.2,1.430511474609375e-05,8843139.0
11,922,305,281600,-0.3514548293799162,2.9232e-05,28815.777777777777,3.7576537e-08,0.0,16209909.14,-2.3222826421260835e-06,-4712767.431163778,100,0.2,9.894371032714844e-06,7894923.5
12,944,325,307200,-0.364023240596056,2.91552e-05,28776.6,3.7020071e-09,0.0,11849671.825,-2.820715308189392e-07,-4662640.8507405,110,0.2,1.2934207916259766e-05,5761799.0
13,966,344,332800,-0.35701383408904075,2.9078400000000003e-05,28679.272727272728,3.915513e-08,0.0,13145404.842,-2.1271336590871213e-06,-4652943.434570545,120,0.2,6.496906280517578e-06,6271372.0
14,988,362,358400,-0.3499021327495575,2.90016e-05,28706.083333333332,3.681751e-08,0.0,11539335.023,-2.1911412477493284e-06,-4651219.574105834,130,0.2,4.589557647705078e-06,6487434.0
15,1009,380,384000,-0.3358610804975033,2.89248e-05,28694.30769230769,3.2128302e-08,0.0,12118348.659,-1.7150631174445153e-06,-4657640.310317308,140,0.2,2.8014183044433594e-06,6143398.0
16,1360,301,409600,-0.3405142478644848,2.8848000000000002e-05,28653.071428571428,1.569977e-08,0.0,13604453.393,-1.2927015777677297e-06,-4654874.993535928,150,0.2,1.6689300537109375e-06,6760555.5
17,1382,314,435200,-0.34570731592178344,2.87712e-05,28611.2,1.3285317e-08,0.0,13862883.279,-1.789266592822969e-06,-4641895.745340066,160,0.2,2.205371856689453e-06,6874945.0
18,1404,328,460800,-0.34395771045982837,2.86944e-05,28574.4375,4.641479e-08,0.0,14050621.337,-3.1691375188529493e-06,-4633037.462551249,170,0.2,1.0728836059570312e-06,6334018.5
19,1425,341,486400,-0.34593495446443556,2.8617600000000002e-05,28605.70588235294,1.0002404e-08,0.0,14104925.433,-7.477911422029137e-07,-4640772.252400587,180,0.2,1.1920928955078125e-06,7701692.0
20,1447,353,512000,-0.3241987575441599,2.85408e-05,28605.70588235294,2.2782478e-08,0.0,16230907.388,-1.8347754958085717e-06,-4640772.252400587,190,0.2,4.172325134277344e-07,7840409.0
21,1803,298,537600,-0.35502668185532094,2.8464e-05,28614.88888888889,9.5956494e-08,0.0,15248212.159,-6.041963817551732e-06,-4640121.333380777,200,0.2,4.172325134277344e-07,7522024.5
22,1825,308,563200,-0.3593951502889395,2.8387199999999998e-05,28590.57894736842,5.8147126e-08,0.0,13571629.276,-3.2580728875473144e-06,-4628989.606385052,210,0.2,5.364418029785156e-07,6020658.5
23,1847,318,588800,-0.3521693377196789,2.83104e-05,28609.75,1.0780059e-08,0.0,14535532.235,-6.905762711539865e-07,-4642452.7907675,220,0.2,2.980232238769531e-07,7262300.5
24,1868,328,614400,-0.34638398660719394,2.82336e-05,28613.714285714286,2.1562446e-08,0.0,9608874.4355,-1.388214062899351e-06,-4629553.174730333,230,0.2,4.76837158203125e-07,5097313.5
