#{"t_start": 1733223098.3756237, "env_id": "None"}
r,l,t
-4762700.695426,9000,125.235161
-4598236.520465,9000,130.945187
-4419822.524193,9000,136.659225
-4442610.214154,9000,142.370277
-4610946.207181,9000,148.083959
-4848696.55138,9000,153.798736
-4920759.148213,9000,159.510873
-4506035.364341,9000,165.243763
-4844631.844208,9000,170.956571
-4547831.222487,9000,176.657317
-4378053.628532,9000,182.367426
-4639813.107981,9000,188.052386
-4756472.391391,9000,193.742949
-4717346.694625,90-5037911.896487,9000,244.2075
-4592625.550389,9000,251.193657
-4892588.384816,9000,258.189702
-4513642.91451,9000,268.556989
-4718468.977669,9000,275.564947
-4386095.368051,9000,285.960305
-4498462.723918,90-4445570.014497,9000,356.666167
-4058100.593233,9000,362.355426
-4482548.775214,9000,368.062479
-4849707.663311,9000,373.753427
-4339881.157868,9000,379.450996
-4214006.902664,9000,385.167401
-4359850.148816,9000,390.85639
-4812141.76975-4839927.476023,9000,474.022872
-4049643.736483,9000,480.986743
-4744508.105376,9000,487.971282
-4705511.040855,9000,498.371743
-4656563.592797,9000,505.371579
-4666055.624395,9000,512.361071
-4192436.371511,9000,522.715775
-4981711.677924,9000,529.725569
-4520025.204768,9000,540.359685
-4437130.222172,9000,547.362994
-4530328.421337,9000,554.366201
-4745885.536315,9000,564.734821
-4809686.632144,900-4724630.622337,9000,587.505165
-4685209.93916-4245343.831337,9000,703.794056
-4498680.185922,9000,710.792182
-4343421.257353,9000,717.763318
-4469866.069209,9000,728.220018
-4754077.169498,9000,735.229449
-4561620.165087,9000,742.261463
-4502323.693197,9000,752.648502
-4488102.598333,9000,759.664494
-4808169.556737,9000,766.658906
-4682716.444715,9000,777.500818
-4247249.808412,9000,784.491553
-4604459.414016,9000,791.494045
-4565628.798663,9000,801.961534
-4248042.737377,9000,808.980928
-4641786.489661,9000,934.396853
-4539534.103137,9000,941.376928
-4389435.287807,9000,948.341543
-4376358.070823,9000,958.839344
-4269927.141365,9000,965.812233
-4499212.314572,9000,972.777531
-4378969.024622,9000,983.173995
-4664113.411577,9000,990.155042
-4712751.931076,9000,997.14219
-4253312.870993,9000,1007.513666
-4995157.371289,9000,1014.510982
-3819915.089555,9000,1021.49281
-4614654.065343,9000,1031.898466
-4663152.313974,9000,1038.889297
-4628261.093776,9000,1045.888467
-4947408.014926,9000,1170.509505
-4519269.430136,9000,1177.496434
-4797126.988695,9000,1187.939815
-4543918.154389,9000,1194.925163
-4449662.136023,9000,1201.932729
-4684857.167494,9000,1212.313495
-4342112.819294,9000,1219.280042
-4330048.764977,9000,1226.245798
-4283570.104468,9000,1236.634654
-4814486.792035,9000,1243.624565
-4754702.071421,9000,1250.632614
-4871896.153096,9000,1260.969447
-4631225.629906,9000,1267.96006
-4069656.341426,9000,1274.943511
-4920091.830204,9000,1399.306817
-3789829.004621,9000,1406.322635
-4572073.588205,9000,1413.318565
-4643150.449209,9000,1423.712569
-4739770.837109,9000,1430.671272
-4284952.288656,9000,1437.6443
-4374202.040691,9000,1448.02342
-4623737.181611,9000,1455.013419
-4579633.66547,9000,1465.367331
-4281824.79189,9000,1472.367271
-4176794.591458,9000,1479.355178
-4060796.125165,9000,1489.83133
-4491666.743457,9000,1496.803348
-5000038.619941,9000,1503.793695
-4889918.549308,9000,1628.341728
-4518226.181733,9000,1635.320794
-5102739.024102,9000,1642.318031
-4555165.737075,9000,1652.681912
-4525173.543968,9000,1659.673743
-4395550.500105,9000,1666.645687
-4232298.674061,9000,1677.035139
-4156860.945859,9000,1683.995437
-4325249.114312,9000,1690.964146
-3987135.465828,9000,1701.35784
-4431110.157852,9000,1708.340133
-4394663.993093,9000,1718.641291
-4754053.650659,9000,1725.61411
-4074924.097989,9000,1732.574233
-4595956.163668,9000,1857.474092
-3711735.167221,9000,1864.456757
-4402481.367318,9000,1871.422185
-4336999.573774,9000,1881.826214
-4158083.432721,9000,1888.78083
-4065533.001422,9000,1895.736015
-4755896.580449,9000,1906.141494
-4369418.544562,9000,1913.129236
-4412043.518138,9000,1920.1334
-4518589.766071,9000,1930.506915
-4094059.929461,9000,1937.51427
-4169810.635448,9000,1944.515773
-3884513.61903,9000,1954.918683
-4328905.375719,9000,1961.885211
-3924890.916383,9000,1968.858212
-4722380.490923,9000,2093.43529
-4143527.207871,9000,2100.4164
-4564717.701452,9000,2110.833818
-4405937.393342,9000,2117.798398
-4144907.317597,9000,2124.774204
-4790706.58116,9000,2135.116791
-4726906.822699,9000,2142.113828
-4060910.444948,9000,2149.094264
-4327624.682347,9000,2159.516745
-4784314.070971,9000,2166.497163
-3939480.625671,9000,2173.462621
-4014159.954514,9000,2183.836057
-4678641.502407,9000,2190.808726
-4312725.162266,9000,2197.777745
