time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/value_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/explained_variance
1,20,25600,9000.0,-4879087.399809999,1279,,,,,,,,,,
2,43,51200,9000.0,-4721961.065991799,1180,172509634.408,72990008.0,0.2,-1.0746812156867235e-05,2.9923200000000002e-05,10,3.3078481e-07,-1.0656847445368767,0.0,-7.033348083496094e-06
3,68,76800,9000.0,-4671006.4502975,1127,142995176.88,80464192.0,0.2,-1.2893499515485019e-05,2.98464e-05,20,3.011455e-07,-1.089742887198925,0.0,7.975101470947266e-05
4,91,102400,9000.0,-4690307.116396273,1118,161172449.208,85446488.0,0.2,-1.3977799913845957e-05,2.97696e-05,30,2.6606023e-07,-1.0949830987453462,0.0,7.62939453125e-05
5,114,128000,9000.0,-4738989.075916071,1114,181343424.0,85048240.0,0.2,-8.246512268669904e-06,2.96928e-05,40,1.3401034e-07,-1.0886636207103728,0.0,4.202127456665039e-05
6,253,153600,9000.0,-4756998.405559825,605,193833463.28,109756744.0,0.2,-1.0156534728594124e-05,2.9616e-05,50,1.7252052e-07,-1.095861672639847,0.0,2.2590160369873047e-05
7,276,179200,9000.0,-4742162.357194527,646,187903188.128,91394576.0,0.2,-7.531439478043467e-06,2.95392e-05,60,1.3100914e-07,-1.1027888280153275,0.0,1.8298625946044922e-05
8,300,204800,9000.0,-4697801.246723591,681,158879540.16,73850552.0,0.2,-1.405129034537822e-05,2.94624e-05,70,2.6644207e-07,-1.0868269801735877,0.0,1.0609626770019531e-05
9,324,230400,9000.0,-4697577.732590441,710,131649739.504,65467896.0,0.2,-9.094804525375366e-06,2.93856e-05,80,1.7246464e-07,-1.0760121977329253,0.0,6.377696990966797e-06
10,347,256000,9000.0,-4680281.261625108,736,168948652.24,94770976.0,0.2,-1.1722710798494518e-05,2.9308800000000003e-05,90,2.1638581e-07,-1.0947637351155282,0.0,3.635883331298828e-06
11,485,281600,9000.0,-4667159.827205968,580,163229573.064,86147728.0,0.2,-7.606645813211798e-06,2.9232e-05,100,1.4676247e-07,-1.0877355431318283,0.0,2.086162567138672e-06
12,508,307200,9000.0,-4667943.673571531,604,161926849.008,77262656.0,0.2,-9.192328143399209e-06,2.91552e-05,110,1.5672529e-07,-1.094883859336376,0.0,1.6093254089355469e-06
13,531,332800,9000.0,-4663450.915301863,625,173371609.392,94160240.0,0.2,-9.121441747993231e-06,2.9078400000000003e-05,120,1.4373799e-07,-1.0932894641160964,0.0,9.5367431640625e-07
14,555,358400,9000.0,-4650556.841003694,645,168420854.088,77739624.0,0.2,-1.208838337333873e-05,2.90016e-05,130,1.9571279e-07,-1.1018087587356566,0.0,6.556510925292969e-07
15,578,384000,9000.0,-4659738.468225048,663,143588962.432,65641256.0,0.2,-9.336224989965559e-06,2.89248e-05,140,1.64581e-07,-1.0757513234615326,0.0,4.172325134277344e-07
16,716,409600,9000.0,-4639921.354223644,571,156274419.072,62636944.0,0.2,-1.1314221657812595e-05,2.8848000000000002e-05,150,1.9817381e-07,-1.0999107739925384,0.0,4.172325134277344e-07
17,739,435200,9000.0,-4637125.507163708,588,145984449.92,66035516.0,0.2,-1.236030797008425e-05,2.87712e-05,160,2.5661663e-07,-1.0870302830338479,0.0,2.980232238769531e-07
18,763,460800,9000.0,-4634914.121414216,603,164971792.696,73809416.0,0.2,-1.0438626835821197e-05,2.86944e-05,170,1.8091174e-07,-1.0941940363645553,0.0,1.7881393432617188e-07
19,786,486400,9000.0,-4628056.40480126,618,169522126.584,96450944.0,0.2,-9.86834114883095e-06,2.8617600000000002e-05,180,1.6957522e-07,-1.084860271513462,0.0,1.7881393432617188e-07
20,810,512000,9000.0,-4620155.667773357,631,163711129.032,79057320.0,0.2,-9.811319294385612e-06,2.85408e-05,190,1.6374281e-07,-1.0927149644494056,0.0,1.1920928955078125e-07
21,948,537600,9000.0,-4615245.309761237,566,155176345.928,80263376.0,0.2,-3.103175316937268e-06,2.8464e-05,200,5.0240196e-08,-1.0728972899913787,0.0,5.960464477539063e-08
22,971,563200,9000.0,-4603951.141978596,579,128455656.536,78318480.0,0.2,-1.9356138887815178e-05,2.8387199999999998e-05,210,3.7211692e-07,-1.0841242101788522,0.0,2.980232238769531e-07
23,995,588800,9000.0,-4603089.310306892,591,146116274.776,70157592.0,0.2,-6.2883069331292065e-06,2.83104e-05,220,1.075468e-07,-1.0910590000152587,0.0,2.384185791015625e-07
